Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
28,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
29,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
30,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
31,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
32,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
33,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
34,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
35,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
36,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
37,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
38,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
39,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
40,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
41,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
42,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
43,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
44,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
45,NULL,Built-up,Wetland,NULL,Wetland,Built-up
46,NULL,Built-up,Wetland,NULL,Wetland,Forest
47,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
48,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
49,NULL,Built-up,Wetland,Water,Wetland,Built-up
50,NULL,Built-up,Wetland,Water,Wetland,Water
51,NULL,Built-up,Wetland,Water,Wetland,Forest
52,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
53,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
54,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
55,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
56,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
57,NULL,Built-up,Water,NULL,Water,Built-up
58,NULL,Built-up,Water,NULL,Water,Forest
59,NULL,Built-up,Water,Non_Water,Water,Built-up
60,NULL,Built-up,Water,Non_Water,Water,Forest
61,NULL,Built-up,Water,Water,Water,Built-up
62,NULL,Built-up,Water,Water,Water,Water
63,NULL,Built-up,Water,Water,Water,Forest
64,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
65,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
66,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
