Dataset,MajorityClass,Wetland,Grassland,Forest,Water,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Built-up,0,0,0,65,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Forest,0,0,0,405,0,0,0,251,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Grassland,43,0,118,32,125,77,0,0,98,49,14
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Forest,261,286,0,101,362,212,0,0,241,91,55
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Wetland,0,107,149,58,193,64,0,0,66,29,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Bareland,4,6,8,0,0,14,0,0,15,2,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Built-up,15,44,46,19,37,0,0,0,64,16,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Water,435,164,278,0,426,95,0,0,183,10,23
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,Cropland,0,4,8,0,10,9,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Grassland,99,0,156,44,0,134,0,0,0,22,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Water,371,0,327,0,38,89,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Built-up,3,0,2,7,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Forest,205,0,0,299,1,315,0,0,0,45,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Wetland,0,0,265,156,3,53,0,0,0,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Bareland,5,0,8,14,0,59,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,Cropland,0,0,5,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Wetland,0,220,579,224,9,0,0,0,0,221,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Forest,3,53,0,30,5,0,0,0,0,78,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Water,70,222,832,0,49,0,0,0,0,153,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Bareland,0,9,52,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Built-up,0,16,102,1,5,0,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Grassland,8,0,208,13,0,0,0,0,0,48,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
