Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Water,0,0,0,170,0,0,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTN_M_R,Grassland,0,0,0,0,0,17,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTN_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTN_M_R,Wetland,0,0,0,0,0,23,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTN_M_R,Water,0,0,0,0,0,0,0,0,103,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTN_M_R,Forest,0,0,0,0,0,89,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Grassland,79,52,42,29,0,7,116,0,0,87,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Forest,0,147,36,174,55,35,156,0,0,55,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Wetland,2,5,3,0,0,0,5,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Bareland,2,0,5,0,1,0,15,0,0,7,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Built-up,2,0,0,0,1,0,4,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Water,68,66,6,170,9,0,48,0,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTN_M_R,Cropland,2,0,1,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTN_M_R,Grassland,65,1,37,0,0,32,0,0,0,88,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTN_M_R,Forest,0,0,23,3,0,245,0,0,0,50,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTN_M_R,Bareland,0,0,2,0,0,1,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTN_M_R,Wetland,28,0,0,0,0,62,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTN_M_R,Shrubland,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTN_M_R,Water,18,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Forest,0,11,0,0,20,15,0,0,0,18,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Bareland,5,0,0,0,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Wetland,115,4,0,0,2,15,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Grassland,134,37,0,1,0,33,0,0,0,41,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Shrubland,13,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Built-up,8,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTN_M_R,Water,213,0,0,3,0,0,0,0,0,0,0,5
