Dataset,MajorityClass,Forest,Grassland,Bareland,Built-up,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Water,111,529,576,14,0,190,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Forest,0,711,659,54,0,348,97,160,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Built-up,27,109,61,0,0,11,4,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Wetland,19,144,217,0,0,0,29,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Grassland,86,0,477,55,82,64,103,161,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Non_Wetland,0,3,2,0,0,4,2,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Forest,0,559,732,29,60,89,212,382,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Bareland,6,52,0,3,7,0,20,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Water,51,159,726,8,0,50,0,122,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Shrubland,6,27,25,5,7,8,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Built-up,5,76,127,0,6,2,14,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Cropland,10,147,137,16,0,3,3,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Wetland,9,68,297,0,1,0,84,46,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MES_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Grassland,0,0,0,0,0,71,39,0,358,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Forest,0,0,0,0,0,223,114,0,589,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Bareland,0,0,0,0,0,79,69,0,412,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Shrubland,0,0,0,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Cropland,0,0,0,0,0,2,2,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Water,0,0,0,0,0,284,0,0,240,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Built-up,0,0,0,0,0,5,6,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Wetland,0,0,0,0,0,0,10,0,155,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MES_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Grassland,0,0,0,0,0,0,101,0,0,47,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Bareland,0,0,0,0,0,0,337,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Shrubland,0,0,0,0,0,0,3,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Wetland,0,0,0,0,0,0,86,0,0,60,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Water,0,0,0,0,0,0,0,0,0,228,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Forest,0,0,0,0,0,0,187,0,0,86,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MES_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Grassland,253,0,32,96,167,71,39,386,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Forest,0,423,55,87,135,223,114,443,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Bareland,194,236,0,126,180,79,69,346,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Cropland,37,76,2,26,0,2,2,100,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Built-up,18,56,0,0,49,5,6,121,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Water,263,170,46,56,59,284,0,262,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Shrubland,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Wetland,46,23,3,7,8,0,10,37,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MES_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Grassland,169,0,3,188,359,105,134,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Bareland,136,0,0,120,130,343,191,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Forest,0,0,4,209,189,157,300,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Water,57,0,19,40,44,96,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Shrubland,7,0,0,11,17,3,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Built-up,0,0,1,0,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Wetland,30,0,0,12,9,0,72,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Cropland,1,0,0,17,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MES_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Forest,0,73,92,0,73,20,85,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Shrubland,38,9,6,0,6,1,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Cropland,30,29,65,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Wetland,155,34,8,0,2,0,74,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Bareland,187,34,0,0,20,79,157,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Built-up,62,5,38,0,35,0,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Water,317,22,30,0,3,73,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MES_M_R,Grassland,310,0,153,0,121,47,121,0,0,0,13
