Dataset,MajorityClass,Forest,Bareland,Water,Built-up,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Grassland,50,9,11,51,0,10,0,0,0,24,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Bareland,150,0,238,185,0,201,0,0,0,43,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Water,84,43,0,23,0,71,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Wetland,48,2,58,30,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Forest,0,3,240,118,0,102,0,0,0,25,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Shrubland,18,2,6,21,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Shrubland,45,4,0,0,5,1,0,0,0,10,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Forest,0,32,37,0,14,3,0,0,0,13,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Bareland,255,0,172,0,11,17,0,0,0,52,0,50
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Wetland,158,17,48,0,3,0,0,0,0,17,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Grassland,120,44,7,0,0,0,0,0,0,29,0,34
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Built-up,20,1,2,0,0,1,0,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Water,296,47,0,0,0,3,0,0,0,1,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVN_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
