Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Cropland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Bareland,68,0,5,6,0,44,3,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Water,308,8,103,8,0,0,189,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Forest,520,82,0,59,0,212,311,339,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Wetland,25,3,5,0,0,38,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Built-up,93,45,11,0,0,9,19,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Cropland,143,57,36,12,0,18,13,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Grassland,0,145,89,50,0,91,65,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Forest,544,239,0,59,0,234,211,158,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Non_Wetland,1,1,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Shrubland,30,26,8,2,0,4,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Built-up,91,58,6,0,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Cropland,129,45,37,18,0,17,6,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Water,137,100,52,3,0,0,73,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Wetland,28,19,8,0,0,36,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Bareland,10,0,0,4,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Grassland,0,0,0,0,0,12,30,0,303,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Wetland,0,0,0,0,0,1,0,0,191,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Forest,0,0,0,0,0,48,99,0,592,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Shrubland,0,0,0,0,0,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Cropland,0,0,0,0,0,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Built-up,0,0,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Water,0,0,0,0,0,0,165,0,285,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,Bareland,0,0,0,0,0,0,6,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Grassland,0,0,0,0,0,108,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Shrubland,0,0,0,0,0,11,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Cropland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Wetland,0,0,0,0,0,10,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Built-up,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Water,0,0,0,0,0,0,0,0,0,247,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Forest,0,0,0,0,0,215,0,0,0,109,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,Bareland,0,0,0,0,0,4,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Grassland,0,29,236,68,391,12,30,362,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Bareland,5,0,10,19,111,0,6,69,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Forest,182,36,0,48,457,48,99,565,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Built-up,24,0,39,0,117,0,0,75,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Wetland,8,4,31,0,39,1,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Water,46,60,240,27,266,0,165,337,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Shrubland,1,0,5,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Cropland,12,0,30,10,0,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,Permanent_ice_and_snow,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Grassland,0,8,208,144,197,124,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Bareland,0,0,2,28,26,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Forest,0,3,0,209,176,220,31,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Water,0,2,88,13,46,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Built-up,0,3,6,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Shrubland,0,0,17,4,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Wetland,0,0,9,1,2,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Cropland,0,0,9,23,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Forest,127,24,0,0,74,159,63,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Shrubland,10,2,42,0,7,14,9,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Wetland,25,1,95,0,3,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Water,41,12,272,0,0,0,53,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Bareland,8,0,17,0,10,6,6,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Cropland,14,7,51,0,0,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Built-up,30,13,86,0,23,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,Grassland,0,46,260,0,87,117,81,0,0,0,0,14
