Dataset,MajorityClass,Forest,Grassland,Water,Wetland,Shrubland,Bareland,Non_Wetland,Cropland,Non_Water,Built-up,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Built-up,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Non_Wetland,0,1,2,8,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Forest,0,168,163,362,0,58,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Grassland,0,0,13,42,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Water,16,10,0,396,0,2,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Shrubland,0,5,1,8,0,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Wetland,14,37,187,0,0,16,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Bareland,0,3,2,12,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,Built-up,0,9,1,2,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,Grassland,0,0,20,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,Wetland,0,0,219,0,0,0,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,Bareland,0,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,Water,0,0,0,0,0,0,0,0,169,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,Forest,0,0,156,0,0,0,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,Grassland,12,0,0,5,27,12,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,Forest,0,85,55,132,106,114,0,6,0,34,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,Wetland,54,36,29,0,26,64,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,Bareland,1,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,Water,134,110,0,154,29,135,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,Built-up,1,0,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,Grassland,8,0,5,9,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,Water,61,0,0,212,0,34,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,Forest,0,0,170,165,0,1,0,0,0,30,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,Bareland,0,0,0,0,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,Wetland,69,0,108,0,0,4,0,0,0,14,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Wetland,437,11,111,0,0,9,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Forest,0,7,4,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Grassland,50,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Water,450,0,0,25,0,23,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
