Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R
16179,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
16180,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
16181,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,NULL
16182,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,Forest
16183,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
16184,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
16185,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
16186,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Water,Forest
16187,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
16188,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
16189,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
16190,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Wetland
16191,Forest,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
16192,Forest,NULL,Built-up,Non_Water,Non_Wetland,Forest,Forest,Forest
16193,Forest,NULL,Water,NULL,Water,NULL,NULL,Wetland
16194,Forest,NULL,Water,NULL,Water,NULL,Water,NULL
16195,Forest,NULL,Water,NULL,Water,NULL,Water,Grassland
16196,Forest,NULL,Water,NULL,Water,NULL,Forest,Forest
16197,Forest,NULL,Water,NULL,Water,Shrubland,Shrubland,NULL
16198,Forest,NULL,Water,NULL,Water,Shrubland,Water,NULL
16199,Forest,NULL,Water,NULL,Water,Shrubland,Water,Forest
16200,Forest,NULL,Water,NULL,Water,Wetland,Wetland,Water
16201,Forest,NULL,Water,NULL,Water,Wetland,Water,Grassland
16202,Forest,NULL,Water,NULL,Water,Wetland,Forest,Forest
16203,Forest,NULL,Water,NULL,Water,Bareland,NULL,Water
16204,Forest,NULL,Water,NULL,Water,Bareland,Shrubland,Forest
16205,Forest,NULL,Water,NULL,Water,Bareland,Bareland,NULL
16206,Forest,NULL,Water,NULL,Water,Bareland,Bareland,Forest
16207,Forest,NULL,Water,NULL,Water,Bareland,Water,NULL
16208,Forest,NULL,Water,NULL,Water,Bareland,Water,Wetland
16209,Forest,NULL,Water,NULL,Water,Bareland,Water,Water
