Dataset,MajorityClass,Bareland,Built-up,Forest,Cropland,Wetland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Grassland,24,89,142,270,24,13,0,0,0,193,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Forest,100,224,0,411,236,75,52,0,0,355,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Wetland,6,5,34,31,0,0,1,0,0,33,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Bareland,0,172,16,79,55,3,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Water,180,342,279,294,547,0,8,0,0,262,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Built-up,13,0,91,171,86,5,7,0,0,111,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Cropland,0,32,36,0,1,0,1,0,0,59,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,Permanent_ice_and_snow,0,10,0,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Grassland,0,118,84,151,16,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Forest,2,365,0,146,75,358,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Water,31,267,137,10,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Built-up,6,0,42,16,0,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Bareland,0,89,8,21,5,85,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Wetland,0,73,33,11,0,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Cropland,0,70,17,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,Permanent_ice_and_snow,0,4,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Wetland,0,0,190,3,0,54,20,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Forest,8,0,0,37,6,56,71,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Cropland,4,0,66,0,1,4,44,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Bareland,0,0,22,3,0,39,9,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Built-up,35,0,160,66,0,86,73,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Water,19,0,462,2,28,0,24,0,0,0,0,71
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,Grassland,1,0,89,31,11,26,0,0,0,0,0,0
