Dataset,MajorityClass,Forest,Bareland,Wetland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Grassland,0,0,55,0,10,0,0,194,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Wetland,0,0,0,0,3,0,0,123,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Forest,0,0,232,0,54,0,0,507,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Shrubland,0,0,0,0,0,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Water,0,0,347,0,0,0,0,268,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Bareland,0,0,26,0,2,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Built-up,0,0,6,0,2,0,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Cropland,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Non_Wetland,0,2,2,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Forest,0,440,185,68,162,502,8,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Grassland,38,243,79,64,51,0,8,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Shrubland,0,21,6,6,2,11,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Wetland,12,190,0,2,119,158,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Built-up,0,142,12,0,17,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Water,58,346,118,3,0,176,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Bareland,0,0,2,10,19,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Cropland,4,58,3,6,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWR_M_R,Permanent_ice_and_snow,0,3,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Grassland,88,63,55,89,10,0,234,0,5,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Wetland,5,8,0,6,3,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Forest,0,159,232,122,54,189,362,0,8,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Bareland,21,0,26,115,2,28,91,0,1,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Built-up,21,15,6,0,2,44,102,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Water,58,99,347,101,0,40,283,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Cropland,9,2,0,11,0,6,44,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWR_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Grassland,0,0,0,0,50,0,0,0,0,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Water,0,0,0,0,0,0,0,0,0,0,163,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Wetland,0,0,0,0,152,0,0,0,0,0,92,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Bareland,0,0,0,0,26,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Built-up,0,0,0,0,31,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWR_M_R,Forest,0,0,0,0,175,0,0,0,0,0,80,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Grassland,108,3,16,111,54,0,0,0,255,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Bareland,31,0,2,58,25,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Built-up,7,1,0,0,8,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Forest,0,6,60,203,238,0,0,0,114,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Wetland,67,9,0,27,111,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Shrubland,1,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Water,60,41,93,14,0,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Cropland,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWR_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Wetland,354,7,0,0,113,33,0,0,16,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Forest,0,29,0,0,32,28,0,0,56,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Water,286,52,12,0,0,6,0,0,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Bareland,41,0,0,0,11,9,0,0,12,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Built-up,75,30,0,0,7,19,0,0,29,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Grassland,220,53,12,0,75,0,0,0,93,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWR_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
