Dataset,MajorityClass,Forest,Bareland,Water,Grassland,Wetland,Cropland,Built-up,Shrubland,Lichens_and_Mosses,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Water,27,38,0,54,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Forest,0,75,171,199,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Bareland,0,0,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Wetland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Wetland,9,8,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Water,77,35,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Forest,0,25,210,0,1,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Grassland,9,2,6,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Bareland,38,0,50,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Cropland,7,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Bareland,0,0,6,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Water,0,0,0,0,85,0,0,0,0,0,20
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Forest,0,0,40,0,81,0,0,0,0,0,67
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Water,234,86,0,5,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Wetland,21,9,2,4,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Forest,0,31,26,7,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Bareland,22,0,0,1,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Grassland,13,2,1,0,0,3,0,0,0,0,0
