Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Forest,Cropland,Built-up,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Bareland,0,3,1,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Forest,0,38,20,0,0,0,0,203,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Water,0,35,0,0,0,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Grassland,0,3,0,9,20,1,3,0,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Wetland,8,0,7,20,6,0,7,0,16,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Bareland,22,3,1,0,14,0,5,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Built-up,15,0,0,0,3,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Forest,89,38,20,60,0,9,39,0,75,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Water,25,35,0,43,40,1,17,0,34,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,Cropland,2,0,0,1,7,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,Grassland,0,1,4,0,29,14,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,Forest,0,49,88,0,0,12,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,Bareland,0,10,19,0,16,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,Water,0,43,0,5,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,Wetland,0,0,46,3,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,Wetland,8,0,36,1,101,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,Forest,14,0,21,13,0,21,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,Bareland,1,4,7,0,19,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,Water,1,20,0,2,78,5,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,Grassland,0,0,4,0,20,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,Built-up,0,0,0,0,10,0,0,0,0,0,0
