Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Forest,110,1043,384,0,328,265,148,1176,0,21,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Wetland,1,204,26,188,0,52,19,262,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Cropland,28,0,333,289,51,72,39,724,0,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Water,38,761,328,458,430,429,0,653,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Shrubland,1,10,4,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Forest,0,0,0,0,0,0,402,0,0,0,406,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Bareland,0,0,0,0,0,0,175,0,0,0,86,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Wetland,0,0,0,0,0,0,192,0,0,0,359,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Cropland,0,0,0,0,0,0,138,0,0,0,124,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Water,0,0,0,0,0,0,0,0,0,0,915,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Grassland,0,0,0,0,0,0,30,0,0,0,42,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Built-up,0,0,0,0,0,0,89,0,0,0,66,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Grassland,0,635,185,124,67,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Wetland,0,573,71,82,0,1,186,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Bareland,0,414,296,34,18,0,120,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Built-up,0,248,0,44,4,10,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Forest,0,1400,800,0,223,2,631,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Shrubland,0,127,58,28,3,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Water,0,1070,457,186,294,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHA_M_R,Cropland,0,0,314,130,47,1,63,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Wetland,231,52,0,527,0,11,202,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Forest,190,181,0,0,42,41,203,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Cropland,309,0,0,461,42,148,181,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Bareland,12,45,0,130,7,0,89,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Built-up,127,256,0,371,3,140,184,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Water,92,75,0,783,160,105,0,0,0,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Shrubland,22,30,0,125,5,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHA_M_R,Grassland,0,72,0,147,7,11,24,0,0,0,0,0
