Dataset,MajorityClass,Forest,Wetland,Bareland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Water,56,80,294,0,0,0,299,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Forest,0,172,406,0,48,55,449,184,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Cropland,19,3,32,0,10,0,86,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Wetland,12,0,112,0,0,18,65,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Grassland,55,54,346,4,48,23,0,89,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Forest,0,177,499,8,28,140,321,157,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Non_Wetland,0,5,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Shrubland,4,6,26,0,6,2,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Bareland,1,3,0,0,1,1,24,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Water,13,30,543,0,1,0,61,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Cropland,4,4,70,0,11,0,62,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Wetland,4,0,184,0,0,15,29,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDU_M_R,Built-up,0,0,43,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Grassland,0,48,0,0,0,22,0,0,162,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Forest,0,150,0,0,0,81,0,0,330,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Shrubland,0,0,0,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Bareland,0,39,0,0,0,38,0,0,183,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Wetland,0,0,0,0,0,3,0,0,47,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Cropland,0,3,0,0,0,1,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDU_M_R,Water,0,144,0,0,0,0,0,0,82,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDU_M_R,Bareland,0,0,0,0,0,135,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDU_M_R,Grassland,0,0,0,0,0,84,0,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDU_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDU_M_R,Wetland,0,0,0,0,0,34,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDU_M_R,Water,0,0,0,0,0,0,0,0,0,133,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDU_M_R,Forest,0,0,0,0,0,100,0,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Grassland,191,48,17,88,39,22,0,209,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Bareland,97,39,0,64,71,38,76,177,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Forest,0,150,43,55,36,81,242,235,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Built-up,8,0,0,22,0,0,26,38,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Water,159,144,30,22,16,0,64,117,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Shrubland,3,0,0,1,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Wetland,14,0,2,3,3,3,4,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDU_M_R,Cropland,22,3,1,0,10,1,21,31,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Shrubland,3,2,0,15,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Grassland,111,28,1,255,57,89,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Bareland,44,131,0,39,25,112,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Forest,0,31,1,135,51,202,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Built-up,2,0,0,11,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Wetland,17,0,0,25,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Water,15,40,6,31,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDU_M_R,Cropland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Shrubland,16,0,1,9,0,7,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Forest,0,19,29,71,0,64,59,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Wetland,82,0,0,10,0,45,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Bareland,113,64,0,29,0,100,30,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Built-up,33,0,5,11,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Water,160,39,3,4,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Cropland,2,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDU_M_R,Grassland,168,22,29,93,0,71,0,0,0,0,0
