Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Cropland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Cropland,15,4,0,20,0,8,7,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Wetland,34,0,17,48,22,45,15,0,0,25,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Built-up,9,2,0,4,6,3,0,0,0,4,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Forest,58,35,18,0,42,62,40,0,0,60,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Grassland,0,12,5,38,28,35,19,0,0,28,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Bareland,8,0,0,8,5,0,3,0,0,4,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Permanent_ice_and_snow,12,0,0,15,8,9,2,0,0,6,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Grassland,0,61,22,49,24,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Wetland,0,0,45,55,33,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Built-up,0,1,1,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Forest,0,85,57,0,30,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Water,0,120,0,46,7,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Bareland,0,5,2,1,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Cropland,0,5,3,6,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,Permanent_ice_and_snow,0,15,3,2,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Water,60,45,0,79,1,3,0,0,0,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Cropland,5,1,0,5,0,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Wetland,65,0,41,68,23,16,0,0,0,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Built-up,3,0,1,9,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Forest,31,20,22,0,13,4,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Grassland,0,6,6,9,6,5,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,Bareland,0,0,0,3,0,0,0,0,0,0,0,0
