Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Water,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Grassland,0,0,101,0,0,86,0,0,580,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Wetland,0,0,0,0,0,0,0,0,221,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Cropland,0,0,44,0,0,57,0,0,493,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Forest,0,0,117,0,0,173,0,0,1111,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Water,0,0,210,0,0,0,0,0,225,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Bareland,0,0,3,0,0,45,0,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Built-up,0,0,0,0,0,22,0,0,47,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Grassland,0,100,196,119,247,60,26,82,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Non_Wetland,4,2,10,1,3,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Forest,912,0,498,161,685,150,55,280,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Wetland,187,11,0,3,89,13,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Shrubland,35,9,14,10,23,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Cropland,580,90,149,0,387,37,63,43,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Bareland,58,0,0,2,0,7,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Water,592,149,67,1,572,0,15,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWS_M_R,Built-up,146,24,26,4,150,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Grassland,0,544,101,463,74,86,118,383,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Wetland,8,116,0,13,10,0,5,34,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Forest,312,0,117,612,117,173,199,459,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Cropland,129,402,44,0,27,57,118,313,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Bareland,1,80,3,192,0,45,82,50,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Water,35,551,210,246,99,0,31,75,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Shrubland,6,9,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWS_M_R,Built-up,13,65,0,124,3,22,0,71,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Grassland,0,0,0,0,0,185,0,0,0,0,83
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Cropland,0,0,0,0,0,97,0,0,0,0,40
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Bareland,0,0,0,0,0,32,0,0,0,0,11
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Wetland,0,0,0,0,0,58,0,0,0,0,48
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Water,0,0,0,0,0,0,0,0,0,0,296
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Forest,0,0,0,0,0,251,0,0,0,0,145
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWS_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Grassland,0,188,6,808,4,44,172,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Forest,0,0,14,697,0,292,359,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Water,0,86,35,411,5,0,68,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Wetland,0,16,0,125,0,22,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Bareland,0,31,0,96,0,20,94,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Shrubland,0,10,0,13,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Built-up,0,0,0,21,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWS_M_R,Cropland,0,84,0,0,0,2,127,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Forest,160,0,25,218,23,105,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Shrubland,17,38,0,11,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Cropland,140,170,1,0,38,23,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Wetland,59,97,0,22,3,39,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Bareland,10,33,1,26,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Water,119,390,86,130,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Built-up,6,66,0,96,12,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWS_M_R,Grassland,0,264,24,184,52,87,0,0,0,0,0
