Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXE_M_R
231,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
233,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
234,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
235,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
236,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
239,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
241,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
242,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
243,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
244,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
245,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
246,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
247,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
248,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
249,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
250,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
251,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
253,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
254,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
257,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
259,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
260,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
