Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Wetland,0,0,0,0,0,0,6,0,172,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Grassland,0,0,0,0,0,60,54,0,245,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Forest,0,0,0,0,0,409,254,0,1140,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Water,0,0,0,0,0,385,0,0,358,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Shrubland,0,0,0,0,0,0,0,0,161,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Bareland,0,0,0,0,0,3,29,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Cropland,0,0,0,0,0,19,57,0,351,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,Built-up,0,0,0,0,0,19,31,0,130,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Water,0,0,0,0,0,0,0,0,0,479,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Shrubland,0,0,0,0,0,0,29,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Grassland,0,0,0,0,0,0,34,0,0,30,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Wetland,0,0,0,0,0,0,104,0,0,133,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Bareland,0,0,0,0,0,0,12,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Built-up,0,0,0,0,0,0,22,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Forest,0,0,0,0,0,0,209,0,0,216,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,Cropland,0,0,0,0,0,0,18,0,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Grassland,0,360,236,171,28,60,54,541,0,0,60,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Wetland,0,5,32,7,7,0,6,78,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Forest,68,666,0,315,122,409,254,1091,0,0,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Bareland,1,248,68,184,0,3,29,294,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Built-up,0,211,79,0,3,19,31,289,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Cropland,23,0,287,233,14,19,57,577,0,0,77,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Water,2,179,259,90,46,385,0,536,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Shrubland,1,27,18,15,2,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Grassland,0,693,191,169,20,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Forest,0,711,0,537,0,116,467,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Shrubland,0,205,74,93,1,3,43,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Bareland,0,252,54,198,0,1,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Wetland,0,185,111,42,0,0,113,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Water,0,382,134,106,9,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Built-up,0,86,12,0,3,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Cropland,0,0,155,220,11,1,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Forest,135,214,0,0,118,4,65,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Shrubland,60,95,206,0,82,13,57,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Cropland,174,0,248,0,196,3,46,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Wetland,26,16,391,0,31,0,87,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Bareland,6,41,84,0,0,7,43,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Built-up,26,161,219,0,94,3,43,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Water,45,86,574,0,42,35,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,Grassland,0,137,204,0,104,6,48,0,0,0,0,5
