Dataset,MajorityClass,Forest,Bareland,Grassland,Wetland,Built-up,Water,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Wetland,0,0,0,0,0,141,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Forest,0,0,0,0,0,120,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Bareland,0,0,0,0,0,11,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Water,0,0,0,0,0,0,0,0,83,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,Grassland,49,14,0,20,14,4,0,30,0,55,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,Forest,0,37,40,104,13,48,0,28,0,66,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,Wetland,5,0,0,0,0,1,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,Water,116,29,7,216,5,0,0,3,0,89,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,Bareland,24,0,1,4,0,0,0,3,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,Cropland,3,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,Grassland,30,2,0,0,6,32,0,45,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,Forest,0,1,0,13,3,169,0,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,Water,28,31,0,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,Wetland,28,29,0,0,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,Bareland,3,0,0,0,0,10,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,Wetland,95,17,2,0,0,16,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,Forest,0,26,9,0,0,11,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,Water,235,52,1,26,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,Grassland,55,37,0,7,0,19,0,17,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
