Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Water,40,30,50,357,128,0,479,461,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Cropland,140,0,87,296,5,11,10,431,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Wetland,5,2,0,127,15,44,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Shrubland,17,23,16,32,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Grassland,0,584,184,175,3,45,56,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Forest,0,581,378,0,0,430,277,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Shrubland,0,151,105,80,0,60,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Wetland,0,33,56,75,0,170,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Bareland,0,113,101,27,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Built-up,0,45,0,6,5,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Water,0,95,55,41,15,0,234,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Cropland,0,0,42,49,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKN_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Forest,169,239,0,0,76,102,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Shrubland,78,107,0,167,51,55,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Cropland,65,0,0,58,72,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Wetland,54,16,0,352,4,221,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Water,26,31,0,409,44,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Bareland,5,35,0,27,0,14,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Built-up,10,117,0,107,29,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKN_M_R,Grassland,0,224,0,230,105,60,2,0,0,0,0,0
