Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Built-up,8,44,1,0,0,1,1,29,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Shrubland,3,3,9,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Water,79,42,174,18,0,6,126,68,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Cropland,56,0,9,56,1,35,2,79,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Permanent_ice_and_snow,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Shrubland,12,20,0,10,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Grassland,99,333,1,57,62,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Forest,0,163,0,112,224,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Bareland,13,91,0,62,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Wetland,24,13,0,4,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Built-up,1,11,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Cropland,15,0,1,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Water,23,19,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Shrubland,40,6,5,0,1,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Forest,0,37,19,0,14,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Cropland,37,0,99,0,3,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Bareland,29,5,0,0,13,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Wetland,86,0,0,0,17,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Built-up,37,11,18,0,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Water,187,2,0,0,0,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,Grassland,145,66,86,0,52,0,0,0,0,0,0,3
