Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Water,42,4,48,0,0,187,0,56,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Bareland,4,6,0,23,0,5,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Forest,0,28,2,302,0,153,0,63,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Cropland,1,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,Forest,0,0,2,29,43,3,0,53,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,Bareland,23,0,0,7,1,3,0,8,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,Wetland,430,0,69,180,12,0,0,125,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,Water,439,0,114,0,4,162,0,29,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,Grassland,184,0,10,34,0,12,0,63,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0,0
