Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Forest,72,49,38,44,47,14,0,0,14,0,0,96
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Grassland,0,10,4,4,9,1,0,22,1,0,0,27
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Permanent_ice_and_snow,7,2,0,7,3,5,0,10,0,0,0,21
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Grassland,0,35,4,14,21,20,0,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Wetland,0,12,0,15,39,21,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Bareland,0,16,3,0,33,62,0,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Water,0,24,13,89,86,0,1,53,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Built-up,0,2,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Forest,0,62,7,36,61,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Permanent_ice_and_snow,0,0,3,15,2,9,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWN_M_R,Cropland,0,0,0,11,29,25,0,25,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Wetland,4,31,0,27,0,14,6,31,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Built-up,2,12,0,7,0,12,0,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Forest,20,37,6,28,0,28,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Cropland,6,0,0,2,0,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Bareland,2,16,0,0,0,21,9,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Water,1,44,1,71,0,0,24,78,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Grassland,0,12,2,11,0,9,3,13,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWN_M_R,Permanent_ice_and_snow,0,0,0,1,0,4,0,0,0,0,0,0
