Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Wetland,92,15,46,0,0,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Bareland,5,0,31,0,0,10,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Built-up,6,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Wetland,490,16,0,0,1,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Water,606,54,0,12,12,0,0,1,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Forest,0,15,0,0,8,11,0,28,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Cropland,7,10,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Grassland,120,13,0,0,0,7,0,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Built-up,29,3,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,Bareland,19,0,0,0,0,0,0,0,0,0,0,0
