Dataset,MajorityClass,Cropland,Built-up,Forest,Bareland,Wetland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Wetland,0,0,0,0,0,21,0,546,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Grassland,0,0,0,0,47,18,0,472,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Forest,0,0,0,0,87,38,0,576,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Bareland,0,0,0,0,51,4,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Water,0,0,0,0,179,0,0,349,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Shrubland,0,0,0,0,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Cropland,0,0,0,0,15,11,0,286,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Built-up,0,0,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Grassland,84,27,98,26,222,49,0,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Non_Wetland,2,0,3,0,11,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Bareland,53,3,12,0,9,8,45,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Forest,73,36,0,47,279,82,99,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Built-up,25,0,10,44,7,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Wetland,65,1,93,38,0,125,41,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Water,75,31,156,102,298,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Shrubland,9,4,3,5,17,1,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Cropland,0,65,75,79,103,9,106,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBV_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Grassland,0,0,0,0,0,176,0,0,0,51,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Wetland,0,0,0,0,0,306,0,0,0,178,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Shrubland,0,0,0,0,0,5,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Water,0,0,0,0,0,0,0,0,0,368,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Cropland,0,0,0,0,0,119,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Bareland,0,0,0,0,0,65,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Forest,0,0,0,0,0,191,0,0,0,101,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBV_M_R,Built-up,0,0,0,0,0,15,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Grassland,265,84,198,30,47,18,0,0,231,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Wetland,92,12,156,35,0,21,23,0,95,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Built-up,37,0,8,0,0,0,3,0,14,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Forest,241,77,0,64,87,38,94,0,160,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Cropland,0,61,107,19,15,11,32,0,117,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Bareland,117,91,15,0,51,4,0,0,26,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Water,266,102,196,93,179,0,36,0,96,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBV_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Wetland,105,0,253,44,0,145,188,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Forest,82,0,0,5,13,76,91,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Cropland,0,0,66,29,18,24,68,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Water,65,0,225,54,92,0,98,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Bareland,18,0,29,0,3,8,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Built-up,52,0,31,12,0,20,26,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Grassland,114,0,119,17,36,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBV_M_R,Shrubland,0,0,2,0,0,0,0,0,0,0,0,0
