Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Water,62,0,141,31,53,0,483,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Wetland,12,0,23,2,0,81,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Grassland,0,97,103,72,38,17,178,65,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Non_Wetland,0,0,2,1,0,0,10,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Forest,209,175,0,299,130,132,712,202,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Wetland,3,16,20,14,0,65,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Shrubland,11,8,9,5,4,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Built-up,62,63,73,225,0,0,81,47,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Cropland,243,0,207,285,177,30,210,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Water,8,102,183,231,51,0,510,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFA_M_R,Bareland,8,8,4,0,8,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Grassland,0,0,0,0,0,17,33,0,339,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Wetland,0,0,0,0,0,5,0,0,439,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Forest,0,0,0,0,0,89,159,0,1370,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Shrubland,0,0,0,0,0,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Cropland,0,0,0,0,0,22,47,0,529,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Water,0,0,0,0,0,0,245,0,656,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Bareland,0,0,0,0,0,1,1,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFA_M_R,Built-up,0,0,0,0,0,6,5,0,158,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Wetland,0,0,0,0,0,52,0,0,0,130,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Shrubland,0,0,0,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Grassland,0,0,0,0,0,35,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Cropland,0,0,0,0,0,68,0,0,0,82,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Water,0,0,0,0,0,0,0,0,0,529,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Bareland,0,0,0,0,0,4,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Forest,0,0,0,0,0,208,0,0,0,205,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFA_M_R,Built-up,0,0,0,0,0,13,0,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Grassland,0,372,171,48,113,17,33,328,0,0,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Built-up,5,238,77,16,0,6,5,214,0,0,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Water,18,411,265,289,96,0,245,339,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Forest,119,712,0,170,223,89,159,710,0,0,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Cropland,31,0,177,54,233,22,47,450,0,0,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Wetland,3,86,76,29,6,5,0,109,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Bareland,0,101,6,0,96,1,1,68,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFA_M_R,Shrubland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Grassland,0,554,138,0,133,24,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Built-up,0,177,27,4,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Forest,0,907,0,0,444,344,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Shrubland,0,45,9,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Wetland,0,254,85,0,26,110,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Bareland,0,111,4,0,82,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Water,0,710,113,5,70,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFA_M_R,Cropland,0,0,86,1,219,20,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Wetland,89,21,297,0,0,133,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Water,63,42,454,1,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Forest,147,148,0,18,0,111,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Cropland,276,0,333,63,0,121,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Bareland,10,16,27,0,0,18,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Built-up,122,182,233,65,0,73,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Shrubland,14,7,43,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFA_M_R,Grassland,0,59,128,4,0,21,0,0,0,0,0
