Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Bareland,Built-up,Shrubland,Cropland,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Cropland,0,0,0,1,5,3,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Wetland,2,0,1,0,1,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Bareland,31,0,19,1,0,3,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Built-up,6,0,1,0,19,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Forest,1,0,0,0,4,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Water,22,0,0,0,15,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,Grassland,0,0,3,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,Cropland,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,Bareland,0,0,69,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,Built-up,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,Wetland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,Water,0,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Water,0,17,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Grassland,0,2,0,0,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Wetland,0,0,0,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Bareland,0,9,2,0,0,0,0,0,0,19,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,Forest,0,1,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,Grassland,0,1,0,8,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,Bareland,0,0,26,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,Wetland,0,0,1,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,Water,0,0,0,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,Forest,0,1,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Bareland,3,9,17,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Shrubland,0,1,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Grassland,0,9,4,9,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Built-up,0,0,0,8,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Water,0,0,0,0,11,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Wetland,0,0,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,Forest,0,0,1,0,0,0,0,0,0,0,0
