Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Water,27,26,32,0,37,19,0,27,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Built-up,8,0,2,0,6,0,0,4,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Forest,67,25,46,12,0,46,0,48,18,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Cropland,0,0,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHV_M_R,Wetland,0,0,0,23,15,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHV_M_R,Bareland,0,1,0,2,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHV_M_R,Water,0,11,7,0,4,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHV_M_R,Grassland,0,0,0,0,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHV_M_R,Forest,0,2,0,52,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,Wetland,17,0,2,29,79,0,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,Bareland,4,0,0,7,18,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,Water,3,2,10,0,69,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,Built-up,2,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,Forest,1,0,0,2,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHV_M_R,Grassland,0,3,0,4,17,0,0,0,4,0,0
