Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Bareland,11,2,43,0,44,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Water,46,4,0,273,81,154,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Forest,0,16,128,404,328,264,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Non_Water,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Cropland,7,1,2,7,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Wetland,26,1,40,94,79,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Built-up,3,0,8,11,40,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Grassland,12,0,3,107,0,40,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Non_Wetland,0,0,0,2,1,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Forest,0,0,124,409,343,141,141,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Bareland,4,0,41,0,38,4,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Built-up,0,0,1,43,42,3,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Non_Water,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Water,44,0,0,272,55,57,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Shrubland,0,0,1,5,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Cropland,2,0,0,22,18,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Wetland,13,0,63,146,85,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Grassland,0,0,2,0,0,25,0,101,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Wetland,0,0,1,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Forest,0,0,45,0,0,256,0,371,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Shrubland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Bareland,0,0,19,0,0,110,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Water,0,0,0,0,0,253,0,83,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,Built-up,0,0,1,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Grassland,0,0,18,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Bareland,0,0,125,0,0,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Shrubland,0,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Water,0,0,0,0,0,0,0,0,126,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Cropland,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Wetland,0,0,84,0,0,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Forest,0,0,119,0,0,0,0,0,73,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,Built-up,0,0,3,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Grassland,78,46,2,39,0,25,77,0,0,87,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Forest,0,42,45,128,67,256,166,0,0,82,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Wetland,13,0,1,6,0,0,9,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Bareland,69,45,19,0,22,110,67,0,0,81,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Water,91,15,0,72,4,253,41,0,0,30,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Shrubland,1,1,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Built-up,8,0,1,0,1,0,16,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Cropland,1,3,0,0,1,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Grassland,35,82,19,2,0,17,0,0,0,98,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Forest,0,120,249,5,0,62,0,0,0,48,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Wetland,51,17,84,15,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Built-up,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Bareland,81,109,123,0,0,13,0,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Water,36,25,0,51,0,24,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Shrubland,0,8,1,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Wetland,217,0,57,19,12,0,0,0,0,2,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Forest,0,0,39,40,17,15,0,0,0,19,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Water,247,0,0,87,1,9,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Grassland,113,0,16,40,0,0,0,0,0,27,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Bareland,117,0,68,0,0,28,0,0,0,11,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Built-up,18,0,1,9,0,0,0,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Shrubland,11,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
