Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Wetland,0,9,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Bareland,0,48,0,29,15,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Built-up,0,3,0,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Forest,0,54,0,22,16,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Cropland,0,0,0,21,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Cropland,9,0,19,0,8,18,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Built-up,1,5,10,0,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Forest,7,13,13,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Grassland,0,4,6,0,4,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Wetland,0,1,4,0,5,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Bareland,0,3,0,0,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPA_M_R,Water,0,11,19,0,0,20,0,0,0,0,0
