Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Water,55,1,464,0,153,7,165,312,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Forest,436,128,726,211,0,35,455,681,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Shrubland,59,12,84,11,18,1,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Wetland,4,0,25,5,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Bareland,53,23,0,9,0,0,3,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Cropland,372,0,296,34,42,26,72,236,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Built-up,120,7,96,3,12,0,6,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Grassland,0,355,11,5,174,77,1,345,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Wetland,0,9,4,8,26,1,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Bareland,0,239,0,12,23,98,25,125,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Water,4,466,60,0,202,66,205,358,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Forest,10,881,45,90,0,183,114,735,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Cropland,0,0,2,2,173,81,0,323,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Built-up,0,128,0,0,16,0,0,55,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Shrubland,0,44,1,0,23,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBH_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Shrubland,0,0,0,22,0,0,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Grassland,0,0,0,17,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Bareland,0,0,0,42,0,0,0,0,0,0,54,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Water,0,0,0,0,0,0,0,0,0,0,428,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Cropland,0,0,0,11,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Wetland,0,0,0,7,0,0,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBH_M_R,Forest,0,0,0,243,0,0,0,0,0,0,256,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Grassland,0,319,3,33,180,85,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Forest,0,415,1,421,0,231,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Shrubland,0,125,0,50,89,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Bareland,0,108,0,70,34,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Wetland,0,8,0,23,19,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Water,0,49,12,0,94,11,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Built-up,0,13,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Cropland,0,0,7,1,120,79,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBH_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Forest,93,116,43,41,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Shrubland,65,63,39,47,180,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Cropland,95,0,121,16,171,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Wetland,13,0,1,3,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Built-up,1,38,13,6,70,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Water,7,5,100,0,597,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Grassland,0,77,77,22,129,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBH_M_R,Bareland,0,32,0,7,57,0,0,0,0,0,0,0
