Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Bareland,0,0,12,9,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Cropland,0,0,6,4,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,Forest,9,11,0,13,0,4,0,0,0,14,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,Grassland,0,3,0,0,5,1,0,0,0,3,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,Water,0,13,0,0,48,15,0,0,0,7,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,Bareland,0,0,0,2,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,Wetland,0,5,0,15,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,Built-up,0,4,0,0,7,0,0,0,0,0,0
