Dataset,MajorityClass,Forest,Wetland,Bareland,Water,Grassland,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Water,285,284,0,0,1,5,230,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Built-up,3,6,0,1,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Bareland,0,0,0,0,0,5,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Cropland,1,0,0,0,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Shrubland,0,5,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Forest,0,194,126,94,158,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Grassland,1,30,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Wetland,25,0,16,64,8,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Built-up,0,13,15,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Water,117,260,133,0,40,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Cropland,0,5,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Grassland,0,0,0,0,0,0,0,0,49,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Wetland,0,0,0,4,0,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Forest,0,139,0,65,0,0,0,0,388,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Water,0,284,0,0,0,0,0,0,260,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Built-up,0,6,0,1,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCJ_M_R,Wetland,0,0,0,62,0,0,0,0,0,70,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCJ_M_R,Forest,0,0,0,121,0,0,0,0,0,93,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCJ_M_R,Built-up,0,0,0,6,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCJ_M_R,Water,0,0,0,0,0,0,0,0,0,234,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCJ_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Water,79,57,0,0,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Forest,0,33,0,252,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Grassland,30,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Wetland,44,0,0,168,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Bareland,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Cropland,1,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,Forest,0,13,25,211,29,0,0,122,0,0,71
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,Wetland,79,0,3,93,4,0,0,54,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,Water,223,65,39,0,5,0,0,168,0,0,54
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,Grassland,17,3,1,29,0,0,0,10,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,Built-up,1,0,1,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,Bareland,0,0,0,6,0,0,0,0,0,0,0
