Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Wetland,4,0,0,0,115,34,20,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Grassland,0,0,0,37,0,28,0,0,151,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Shrubland,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Bareland,0,0,0,79,0,59,0,0,107,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Forest,0,0,0,136,0,82,0,0,285,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Built-up,0,0,0,5,0,5,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Water,0,0,0,193,0,0,0,0,150,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Cropland,0,0,0,1,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,Wetland,0,0,0,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Bareland,0,0,0,0,0,157,0,0,0,51,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Water,0,0,0,0,0,0,0,0,0,186,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Grassland,0,0,0,0,0,61,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Wetland,0,0,0,0,0,26,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Forest,0,0,0,0,0,113,0,0,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Grassland,157,123,63,37,16,28,0,246,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Forest,0,75,71,136,40,82,235,261,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Bareland,113,90,86,79,0,59,108,254,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Built-up,10,36,0,5,0,5,46,73,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Water,199,37,14,193,37,0,94,189,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Cropland,18,0,15,1,0,0,46,53,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,Wetland,13,1,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Grassland,119,228,111,6,2,108,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Forest,0,89,117,18,0,241,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Bareland,64,43,109,69,0,121,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Built-up,1,10,0,0,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Water,21,13,19,30,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Wetland,12,4,8,0,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Cropland,2,0,5,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,Shrubland,2,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Forest,0,57,0,8,38,48,47,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Cropland,4,0,0,0,38,0,21,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Bareland,96,38,0,32,0,115,16,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Shrubland,10,0,0,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Built-up,47,23,0,0,15,13,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Wetland,62,2,0,0,0,36,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Water,206,3,0,52,18,0,15,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,Grassland,195,91,0,40,67,85,0,0,0,0,8
