Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Grassland,0,0,0,0,0,76,0,0,0,0,82,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Wetland,0,0,0,0,0,300,0,0,0,0,343,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Cropland,0,0,0,0,0,40,0,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Bareland,0,0,0,0,0,11,0,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Built-up,0,0,0,0,0,21,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Water,0,0,0,0,0,0,0,0,0,0,628,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,Forest,0,0,0,0,0,222,0,0,0,0,279,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Grassland,0,173,691,92,155,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Forest,0,0,690,303,253,398,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Wetland,0,129,353,0,18,214,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Bareland,0,3,66,6,47,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Water,0,115,404,333,64,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Shrubland,0,3,25,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Built-up,0,5,84,5,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Cropland,0,68,0,4,142,15,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Forest,222,0,101,44,0,114,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Cropland,190,203,0,15,0,59,30,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Wetland,288,631,16,0,0,297,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Water,134,540,22,171,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Shrubland,8,37,5,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Bareland,10,52,7,0,0,8,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Built-up,72,114,117,0,0,52,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,Grassland,0,194,103,40,0,46,9,0,0,0,0,0
