Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Built-up,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Water,104,25,0,0,69,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Built-up,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Cropland,1,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Bareland,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Grassland,0,36,5,3,3,74,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Forest,105,0,17,61,86,217,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Wetland,9,20,0,2,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Water,13,86,1,0,106,40,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Cropland,0,1,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,Bareland,0,1,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Shrubland,0,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Grassland,0,0,0,3,3,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Wetland,0,0,0,2,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Forest,0,0,0,61,86,0,0,0,284,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Water,0,0,0,0,106,0,0,0,59,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLG_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLG_M_R,Wetland,0,0,0,21,0,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLG_M_R,Water,0,0,0,0,0,0,0,0,0,47,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLG_M_R,Forest,0,0,0,46,0,0,0,0,0,19,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,Grassland,0,37,0,1,3,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,Forest,0,0,0,95,20,0,26,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,Wetland,0,33,0,34,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,Water,0,61,0,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,Forest,21,0,28,83,23,0,0,37,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,Wetland,8,100,0,55,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,Water,2,142,1,0,10,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,Grassland,0,45,8,13,24,0,0,23,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,Shrubland,0,4,4,1,3,0,0,0,0,0,0
