Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Wetland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Forest,0,0,0,69,614,176,253,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Wetland,7,0,0,0,0,47,341,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Shrubland,7,0,0,5,18,7,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Bareland,17,0,0,0,36,13,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Permanent_ice_and_snow,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Non_Wetland,0,5,0,0,14,7,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Wetland,28,114,0,0,0,281,336,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Forest,0,150,13,0,392,586,143,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Grassland,2,34,7,0,74,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Water,46,88,0,0,393,265,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Shrubland,0,22,2,0,16,26,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Cropland,0,0,4,3,30,210,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Bareland,0,76,9,0,1,47,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Built-up,0,45,0,0,6,73,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Grassland,0,0,0,0,38,0,15,0,263,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Wetland,0,0,0,0,0,0,81,0,488,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Forest,0,0,0,0,138,0,79,0,824,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Water,0,0,0,0,311,0,0,0,394,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Shrubland,0,0,0,0,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Cropland,0,0,0,0,1,0,6,0,162,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Bareland,0,0,0,0,32,0,4,0,33,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Built-up,0,0,0,0,0,0,2,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Grassland,0,0,0,0,0,0,23,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Wetland,0,0,0,0,0,0,396,0,0,263,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Shrubland,0,0,0,0,0,0,4,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Cropland,0,0,0,0,0,0,5,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Water,0,0,0,0,0,0,0,0,0,311,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Forest,0,0,0,0,0,0,142,0,0,100,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,Bareland,0,0,0,0,0,0,15,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Grassland,110,101,15,5,38,0,15,174,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Wetland,145,10,0,15,0,5,81,161,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Forest,0,155,23,55,138,79,79,279,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Cropland,52,0,21,4,1,30,6,117,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Water,196,56,1,26,311,7,0,164,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Bareland,10,58,8,0,32,0,4,35,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Built-up,6,27,0,0,0,1,2,39,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,Permanent_ice_and_snow,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Grassland,111,121,63,9,34,0,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Wetland,158,34,16,48,0,0,178,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Built-up,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Water,94,19,13,51,219,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Forest,0,103,78,8,89,0,174,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Cropland,33,0,73,20,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Bareland,5,23,34,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Shrubland,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Cropland,70,0,0,74,1,27,4,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Wetland,492,23,0,85,0,153,164,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Forest,0,31,0,16,3,32,17,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Water,436,4,0,144,59,47,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Grassland,120,56,0,27,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Bareland,1,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Built-up,7,6,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,Shrubland,4,0,0,0,0,0,0,0,0,0,0
