Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Water,0,0,0,0,0,0,0,0,0,0,351,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Grassland,0,0,0,44,0,0,0,0,0,0,57,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Wetland,0,0,0,67,0,0,0,0,0,0,76,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Cropland,0,0,0,23,0,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Forest,0,0,0,153,0,0,0,0,0,0,120,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Bareland,0,0,0,7,0,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Grassland,0,532,194,57,1,0,102,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Forest,0,632,0,341,67,0,300,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Shrubland,0,88,43,11,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Wetland,0,115,84,101,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Water,0,292,167,0,43,15,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Bareland,0,101,56,32,0,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Built-up,0,30,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,Cropland,0,0,125,16,0,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Forest,110,158,0,51,4,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Shrubland,33,35,111,9,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Cropland,110,0,214,56,5,80,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Wetland,69,16,280,136,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Bareland,5,29,71,16,2,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Water,33,41,591,0,47,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Built-up,6,48,92,3,0,2,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,Grassland,0,103,179,60,4,51,0,0,0,0,0,0
