Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LND_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LND_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LND_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LND_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LND_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LND_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LND_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LND_M_R
2382,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2383,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
2384,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
2385,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Wetland
2386,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Forest
2387,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Shrubland,Grassland
2388,NULL,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
2389,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2390,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2391,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2392,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2393,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
2394,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2395,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
2396,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2397,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
2398,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2399,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2400,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
2401,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
2402,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2403,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2404,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2405,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2406,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2407,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2408,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2409,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2410,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2411,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2412,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2413,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2414,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2415,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
2416,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
2417,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
2418,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2419,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2420,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2421,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2422,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2423,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2424,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2425,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
2426,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2427,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2428,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2429,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2430,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2431,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2432,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2433,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2434,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
2435,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2436,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
2437,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
2438,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
2439,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
2440,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
2441,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Wetland
2442,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
2443,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
2444,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
2445,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
2446,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
2447,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2448,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2449,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2450,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
2451,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2452,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2453,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2454,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2455,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2456,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2457,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2458,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2459,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2460,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2461,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2462,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
2463,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2464,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2465,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2466,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2467,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2468,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2469,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Water,Cropland
2470,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
2471,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
2472,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2473,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2474,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2475,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2476,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2477,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2478,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2479,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2480,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2481,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2482,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2483,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Water
2484,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2485,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2486,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2487,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2488,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2489,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2490,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2491,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
2492,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2493,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2494,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2495,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
2496,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2497,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2498,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2499,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
2500,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2501,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
2502,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
2503,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2504,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
2505,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2506,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2507,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
2508,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2509,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2510,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2511,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
2512,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2513,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2514,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
2515,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
2516,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2517,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2518,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2519,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
2520,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
2521,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2522,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2523,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2524,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2525,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2526,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
2527,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2528,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2529,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2530,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2531,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2532,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2533,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2534,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
2535,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
2536,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
2537,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
2538,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
2539,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2540,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2541,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
2542,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
2543,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2544,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2545,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2546,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
2547,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
2548,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Shrubland,Cropland
2549,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
2550,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
2551,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
2552,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
2553,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
2554,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2555,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Cropland
2556,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
2557,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
2558,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
2559,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
2560,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
2561,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2562,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
2563,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
2564,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
2565,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2566,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
2567,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
2568,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2569,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
2570,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
2571,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2572,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
2573,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2574,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
2575,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
2576,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2577,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
2578,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
2579,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
2580,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2581,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2582,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
2583,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Shrubland,NULL
2584,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
2585,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,NULL
2586,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
2587,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
2588,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
2589,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
2590,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
2591,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
2592,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Cropland
2593,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
2594,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
2595,NULL,Cropland,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
2596,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
2597,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
2598,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
2599,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
2600,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
2601,NULL,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Forest
2602,NULL,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2603,NULL,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Cropland
2604,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
2605,NULL,Cropland,Wetland,NULL,Wetland,Bareland,NULL,Forest
2606,NULL,Cropland,Wetland,NULL,Wetland,Water,NULL,Forest
2607,NULL,Cropland,Wetland,NULL,Wetland,Forest,NULL,Forest
2608,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
2609,NULL,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Cropland
2610,NULL,Cropland,Wetland,Water,Wetland,Grassland,Water,Grassland
2611,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Shrubland,NULL
2612,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
2613,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
2614,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
2615,NULL,Cropland,Bareland,NULL,Non_Wetland,Water,NULL,Forest
2616,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
2617,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2618,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
2619,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
2620,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
2621,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
2622,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
2623,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
2624,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
2625,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
2626,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
2627,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
2628,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
2629,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
2630,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
2631,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Cropland
2632,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Bareland
2633,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
2634,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
2635,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2636,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2637,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2638,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2639,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
2640,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2641,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2642,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2643,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
2644,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
2645,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2646,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
2647,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2648,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
2649,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2650,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
2651,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2652,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
2653,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
2654,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2655,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2656,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2657,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
2658,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
2659,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
2660,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
2661,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
2662,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2663,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
2664,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2665,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2666,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
2667,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
2668,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2669,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
2670,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
2671,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2672,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
2673,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2674,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2675,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
2676,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
2677,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
2678,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2679,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
2680,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2681,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
2682,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
2683,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2684,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2685,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2686,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2687,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2688,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,Shrubland,Built-up
2689,NULL,Cropland,Built-up,Water,Non_Wetland,Shrubland,Grassland,Grassland
2690,NULL,Cropland,Water,NULL,Water,Forest,Forest,Forest
2691,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2692,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2693,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
2694,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
2695,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
2696,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
