Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Built-up,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Grassland,0,8,141,257,129,4,551,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Forest,0,1,517,0,210,105,380,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Shrubland,0,0,99,85,57,9,159,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Water,0,3,0,215,39,107,210,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Bareland,0,0,21,20,93,0,133,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Built-up,0,2,1,1,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Wetland,0,0,186,154,1,0,67,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Cropland,0,2,3,50,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFL_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Wetland,111,13,100,279,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Forest,140,84,112,0,0,153,101,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Shrubland,118,40,98,261,0,96,46,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Cropland,75,132,21,114,0,7,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Water,212,25,0,876,0,341,17,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Bareland,4,0,10,40,0,5,22,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Built-up,11,43,12,96,0,0,58,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFL_M_R,Grassland,0,149,113,263,0,73,117,0,0,0,6
