Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Cropland,Water,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Bareland,0,0,0,0,0,4,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Built-up,1,0,36,0,0,1,30,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Grassland,146,66,54,56,160,26,0,0,96,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Forest,0,49,93,197,98,77,95,0,88,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Water,148,43,116,213,78,0,126,0,119,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Bareland,11,9,0,11,20,2,19,0,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Built-up,18,0,0,1,33,2,41,0,5,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Cropland,22,8,0,1,0,0,19,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Wetland,12,0,1,0,0,4,2,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGJ_M_R,Permanent_ice_and_snow,2,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Grassland,0,0,0,0,0,112,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Wetland,0,0,0,0,0,46,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Water,0,0,0,0,0,0,0,0,0,0,225,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Forest,0,0,0,0,0,238,0,0,0,0,109,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGJ_M_R,Bareland,0,0,0,0,0,17,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Grassland,65,58,5,15,222,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Forest,0,59,0,22,69,221,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Built-up,0,0,0,0,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Bareland,3,10,0,0,16,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Wetland,30,4,3,0,7,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Water,54,2,6,13,81,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Cropland,3,13,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGJ_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Water,287,0,41,22,7,0,28,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Wetland,74,0,6,0,4,26,10,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Built-up,33,0,1,0,19,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Forest,0,0,13,3,24,23,20,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Bareland,7,0,0,0,3,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Grassland,176,0,61,23,81,123,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGJ_M_R,Cropland,9,0,9,0,0,3,0,0,0,0,0,0
