Dataset,MajorityClass,Grassland,Wetland,Forest,Shrubland,Water,Bareland,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Bareland,36,69,31,0,1,0,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Water,164,720,227,0,0,51,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Forest,271,676,0,0,93,28,69,39,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Lichens_and_Mosses,1,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Built-up,18,31,30,0,0,9,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Permanent_ice_and_snow,2,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Wetland,0,0,0,0,123,0,0,0,923,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Shrubland,0,0,0,0,0,0,0,0,187,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Grassland,0,104,0,0,71,0,0,0,577,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Forest,0,244,0,0,138,0,0,0,1111,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Water,0,278,0,0,0,0,0,0,314,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Cropland,0,7,0,0,8,0,0,0,336,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Bareland,0,2,0,0,3,0,0,0,78,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Built-up,0,0,0,0,1,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Non_Wetland,8,11,5,5,5,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Grassland,0,197,51,113,157,72,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Wetland,501,0,210,324,507,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Forest,582,406,0,421,203,101,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Water,258,340,66,38,0,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Shrubland,53,42,12,0,25,18,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Cropland,324,94,63,126,73,158,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Bareland,30,10,4,7,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Lichens_and_Mosses,1,0,0,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Built-up,61,1,0,8,3,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,Permanent_ice_and_snow,0,0,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Grassland,0,0,0,0,96,0,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Wetland,0,0,0,0,429,0,0,0,0,368,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Shrubland,0,0,0,0,8,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Cropland,0,0,0,0,23,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Water,0,0,0,0,0,0,0,0,0,320,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Bareland,0,0,0,0,10,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,Forest,0,0,0,0,122,0,0,0,0,90,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Grassland,0,104,199,349,71,29,338,46,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Wetland,29,0,337,205,123,35,124,3,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Forest,107,244,0,411,138,51,363,29,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Bareland,2,2,17,48,3,0,77,14,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Water,3,278,219,123,0,17,115,4,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Shrubland,7,0,11,0,0,2,10,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Cropland,21,7,79,167,8,2,0,33,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Built-up,1,0,4,26,1,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,Permanent_ice_and_snow,0,0,1,3,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Shrubland,0,17,24,0,0,0,49,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Grassland,0,51,97,0,15,0,344,42,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Forest,0,208,0,0,132,0,261,71,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Wetland,0,0,192,0,201,3,144,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Bareland,0,0,2,0,1,0,37,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Built-up,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Water,0,228,55,0,0,14,124,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,Cropland,0,1,25,0,1,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Shrubland,34,6,74,0,4,13,31,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Wetland,426,0,670,0,315,113,115,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Forest,104,37,0,0,35,64,68,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Water,109,106,347,0,0,55,40,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Cropland,44,4,84,0,18,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Bareland,2,0,3,0,3,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Grassland,0,5,151,0,20,60,92,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,Built-up,0,0,22,0,0,0,16,0,0,0,0,0
