Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Bareland,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Wetland,38,77,0,4,33,7,9,43,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Water,386,365,499,73,313,0,83,405,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Shrubland,6,7,0,0,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Grassland,0,187,37,199,8,200,678,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Forest,0,0,123,371,4,518,564,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Bareland,0,32,3,95,0,62,121,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Built-up,0,9,1,0,4,3,63,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Shrubland,0,3,0,15,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Wetland,0,26,0,29,0,213,64,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Water,0,70,21,30,28,0,80,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMQ_M_R,Cropland,0,16,2,26,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Wetland,107,232,0,0,21,279,50,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Forest,178,0,59,0,143,256,191,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Shrubland,17,26,0,0,1,12,15,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Cropland,63,37,1,0,99,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Bareland,12,34,1,0,0,64,26,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Water,57,344,51,0,90,0,21,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Built-up,10,180,0,0,39,20,108,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMQ_M_R,Grassland,0,418,88,0,141,251,233,0,0,0,0,0
