Dataset,MajorityClass,Wetland,Grassland,Forest,Water,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Built-up,0,2,3,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Water,31,0,125,0,122,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Forest,22,0,0,287,17,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Grassland,0,0,15,10,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Bareland,17,0,53,84,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Wetland,0,0,69,90,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,Wetland,0,2,148,25,32,0,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,Water,34,8,548,0,213,0,0,0,0,7,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,Forest,0,2,0,15,28,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,Grassland,7,0,41,1,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,Bareland,3,0,25,10,0,0,0,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,Built-up,1,0,2,0,1,0,0,0,0,0,0,0
