Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Built-up,0,0,0,0,29,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Water,0,0,0,0,0,0,0,0,383,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Grassland,69,40,60,67,4,0,205,0,0,8,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Wetland,72,7,0,137,109,52,143,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Bareland,17,84,54,0,6,36,107,0,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Forest,0,95,249,220,89,266,362,0,0,11,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Water,132,57,441,272,0,85,295,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Built-up,23,0,18,9,1,40,67,0,0,1,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Cropland,6,4,0,2,0,7,17,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Grassland,92,108,81,4,75,0,0,0,0,68,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Bareland,29,78,5,0,47,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Wetland,237,110,0,49,291,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Built-up,2,0,0,2,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Forest,0,227,202,19,388,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Water,161,58,296,172,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Cropland,1,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUT_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Wetland,626,0,0,49,289,246,0,0,0,155,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Forest,0,0,2,45,39,26,0,0,0,56,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Bareland,27,0,0,0,12,5,0,0,0,9,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Water,646,0,63,103,0,93,0,0,0,44,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Grassland,194,0,17,16,30,0,0,0,0,74,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Built-up,38,0,0,3,5,0,0,0,0,11,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUT_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
