Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R
59,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
60,Wetland,Water,Water,Water,Water,NULL,NULL,Water
61,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
62,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
63,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
64,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
66,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
67,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
68,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
69,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
70,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
71,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
72,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
73,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
74,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
75,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
76,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
77,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
78,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
80,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
82,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
83,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
84,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
85,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
86,Water,NULL,Water,Water,Water,NULL,NULL,Water
87,Water,NULL,Water,Water,Water,NULL,NULL,Forest
88,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
89,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
91,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
92,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
93,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
94,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
95,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
96,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
97,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
98,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
99,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
100,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
101,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
102,Water,Wetland,Water,Water,Water,NULL,NULL,Water
103,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
104,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
105,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
106,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
107,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
108,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
110,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
111,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
112,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
113,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
114,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
115,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
116,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
117,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
118,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
119,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
120,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
121,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
122,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
123,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
124,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
125,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
126,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
127,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
128,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
129,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
130,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
131,Water,Water,Water,NULL,Water,NULL,NULL,Water
132,Water,Water,Water,NULL,Water,NULL,NULL,Forest
133,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
134,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
135,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
136,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
137,Water,Water,Water,Water,Water,NULL,NULL,Grassland
138,Water,Water,Water,Water,Water,NULL,NULL,Bareland
139,Water,Water,Water,Water,Water,NULL,NULL,Water
140,Water,Water,Water,Water,Water,NULL,NULL,Forest
141,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
143,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
144,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
145,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
146,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
147,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
148,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
149,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
150,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
151,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
152,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
153,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
154,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
155,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
156,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
157,Water,Forest,Water,NULL,Water,NULL,NULL,Water
158,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
159,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
160,Water,Forest,Water,Water,Water,NULL,NULL,Water
161,Water,Forest,Water,Water,Water,NULL,NULL,Forest
162,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
163,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
164,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
165,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
166,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
167,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
168,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
169,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
170,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
171,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
173,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
174,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
175,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
177,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
179,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
181,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
182,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
183,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
184,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
185,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
186,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
187,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
188,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
189,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
190,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
191,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
192,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
193,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
194,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
195,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
196,Forest,Wetland,Water,Water,Water,NULL,NULL,Bareland
197,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
198,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
199,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
200,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
203,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
204,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
205,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
206,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
207,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
208,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
209,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
210,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
211,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
212,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
213,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
214,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
215,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
216,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
217,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
218,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
219,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
220,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
221,Forest,Water,Water,NULL,Water,NULL,NULL,Water
222,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
223,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
224,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
225,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
226,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
227,Forest,Water,Water,Water,Water,NULL,NULL,Water
228,Forest,Water,Water,Water,Water,NULL,NULL,Forest
229,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
231,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
232,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
233,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
235,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
236,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
238,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
239,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
240,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
241,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
242,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
243,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
244,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
247,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
248,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
249,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
250,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
252,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
253,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
255,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
256,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
257,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
258,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
259,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
260,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
261,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
262,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
263,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
264,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
265,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
266,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
267,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
268,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
269,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
270,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
271,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
272,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
273,Forest,Forest,Water,Water,Water,NULL,NULL,Water
274,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
275,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
276,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
278,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
279,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
281,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
282,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
283,Forest,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
284,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
285,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
286,Forest,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
287,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
288,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
289,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
290,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
291,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
292,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
293,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
294,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
295,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
296,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
297,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
298,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
