Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Cropland,25,0,10,14,6,0,15,0,0,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Wetland,53,32,0,26,16,13,46,0,0,64,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Bareland,23,21,29,0,10,6,24,0,0,51,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Built-up,6,5,1,3,0,0,3,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Forest,55,52,44,42,37,17,0,0,0,75,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Grassland,0,28,15,17,9,4,25,0,0,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Permanent_ice_and_snow,16,7,0,6,4,0,18,0,0,32,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Grassland,0,45,49,9,19,19,39,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Wetland,0,62,0,24,15,53,67,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Water,0,40,97,58,1,0,55,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Forest,0,25,60,7,20,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Cropland,0,0,13,1,9,1,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Bareland,0,11,18,0,3,31,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,Permanent_ice_and_snow,0,9,14,0,8,7,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Water,39,20,33,43,0,0,58,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Cropland,3,0,3,1,0,0,3,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Wetland,60,43,0,50,0,55,69,0,0,0,39
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Bareland,3,3,2,0,0,5,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Built-up,3,7,1,1,0,0,4,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Forest,26,17,22,21,0,24,0,0,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,Grassland,0,11,11,11,0,9,12,0,0,0,11
