Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Cropland,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Wetland,18,0,217,109,75,0,267,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Shrubland,0,1,0,18,10,8,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Built-up,3,0,1,135,33,28,62,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Bareland,0,1,18,0,65,35,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Cropland,9,3,1,97,0,44,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Permanent_ice_and_snow,0,0,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Grassland,0,0,203,0,0,0,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Wetland,0,0,406,0,0,0,0,0,256,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Shrubland,0,0,2,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Forest,0,0,345,0,0,0,0,0,110,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Bareland,0,0,102,0,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Water,0,0,0,0,0,0,0,0,268,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Built-up,0,0,19,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Cropland,0,0,12,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Grassland,180,88,32,124,23,94,0,0,0,320,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Wetland,50,23,53,100,0,0,74,0,0,133,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Forest,0,115,77,240,27,240,469,0,0,398,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Bareland,35,92,12,0,0,59,85,0,0,145,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Built-up,20,0,0,4,0,1,59,0,0,71,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Water,130,80,0,190,0,392,180,0,0,264,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Cropland,69,49,2,33,0,13,121,0,0,127,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Grassland,207,164,152,16,497,119,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Forest,0,231,388,13,235,141,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Bareland,33,49,23,0,105,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Water,75,51,0,183,41,199,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Wetland,141,67,262,44,63,0,0,0,0,0,0,0
