Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Bareland,16,14,0,35,0,13,0,0,0,20,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Wetland,145,0,19,63,0,149,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Water,140,108,33,29,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Cropland,2,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Wetland,401,0,49,0,78,64,0,0,0,55,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Forest,0,2,9,0,24,5,0,0,0,31,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Water,549,23,70,0,49,0,0,0,0,19,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Built-up,56,0,12,0,1,0,0,0,0,28,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Grassland,186,6,21,0,0,21,0,0,0,60,0,32
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Bareland,23,0,0,0,0,0,0,0,0,3,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,Cropland,7,0,1,0,0,0,0,0,0,0,0,0
