Value,AFRICA_2024_DynamicWorld_2024_35PNR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,AFRICA_2024_WorldCover_2021_35PNR_M_R
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
127,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
129,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
134,NULL,Water,NULL,NULL,Non_Wetland,Grassland
135,NULL,Water,Grassland,NULL,Non_Wetland,Forest
136,NULL,Forest,NULL,NULL,Non_Wetland,NULL
137,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
139,NULL,Forest,NULL,NULL,Non_Wetland,Forest
140,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
141,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
142,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
143,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
147,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
148,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
149,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
150,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
152,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
154,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
155,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
157,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
158,NULL,Forest,Grassland,Water,Non_Wetland,Forest
159,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
160,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
162,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
163,NULL,Forest,Wetland,NULL,Wetland,NULL
164,NULL,Forest,Wetland,NULL,Wetland,Forest
165,NULL,Forest,Wetland,Non_Water,Wetland,Forest
166,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
167,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
168,NULL,Forest,Forest,NULL,Non_Wetland,NULL
169,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
170,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
171,NULL,Forest,Forest,NULL,Non_Wetland,Forest
172,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
173,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
174,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
175,Grassland,Forest,Wetland,NULL,Wetland,NULL
176,Grassland,Forest,Wetland,NULL,Wetland,Forest
177,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
178,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
179,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
180,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
181,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
182,Cropland,NULL,NULL,NULL,Non_Wetland,Water
183,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
184,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
185,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
186,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
187,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
188,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
189,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
190,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
191,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
192,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
193,Cropland,NULL,NULL,Water,Non_Wetland,Water
194,Cropland,NULL,NULL,Water,Non_Wetland,Forest
195,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
196,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
197,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
198,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
201,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
202,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
203,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
204,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
205,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
206,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
207,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
208,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
209,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
210,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
211,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
212,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
213,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
214,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
215,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
216,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
217,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
218,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
219,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
220,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
221,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
222,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
223,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
224,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
225,Cropland,NULL,Grassland,Water,Non_Wetland,Water
226,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
227,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
228,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
229,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
230,Cropland,NULL,Wetland,NULL,Wetland,Grassland
231,Cropland,NULL,Wetland,NULL,Wetland,Cropland
232,Cropland,NULL,Wetland,NULL,Wetland,Bareland
233,Cropland,NULL,Wetland,NULL,Wetland,Forest
234,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
235,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
236,Cropland,NULL,Wetland,Non_Water,Wetland,Water
237,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
238,Cropland,NULL,Wetland,Water,Wetland,Grassland
239,Cropland,NULL,Wetland,Water,Wetland,Cropland
240,Cropland,NULL,Wetland,Water,Wetland,Wetland
241,Cropland,NULL,Wetland,Water,Wetland,Bareland
242,Cropland,NULL,Wetland,Water,Wetland,Water
243,Cropland,NULL,Wetland,Water,Wetland,Forest
244,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
245,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
246,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
247,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
248,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
249,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
250,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
251,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
252,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
253,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
254,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
255,Cropland,NULL,Bareland,Water,Non_Wetland,Water
256,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
257,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
258,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
259,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
260,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
261,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
262,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
263,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
264,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
265,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
266,Cropland,NULL,Built-up,Water,Non_Wetland,Forest
267,Cropland,NULL,Water,Water,Water,Bareland
268,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
269,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
270,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
271,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
272,Cropland,NULL,Forest,NULL,Non_Wetland,Water
273,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
274,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
275,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
276,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland
277,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
278,Cropland,NULL,Forest,Water,Non_Wetland,NULL
279,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
280,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
281,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
282,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
283,Cropland,NULL,Forest,Water,Non_Wetland,Forest
284,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
285,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
286,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
287,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
288,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
289,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
290,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Bareland
291,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
292,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
293,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
294,Cropland,Cropland,NULL,Water,Non_Wetland,Bareland
295,Cropland,Cropland,NULL,Water,Non_Wetland,Water
296,Cropland,Cropland,NULL,Water,Non_Wetland,Forest
297,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
298,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
299,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
300,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
301,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
302,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
303,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
304,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
305,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
306,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
307,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
308,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
309,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water
310,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
311,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
312,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
313,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
314,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
315,Cropland,Cropland,Wetland,NULL,Wetland,Forest
316,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
317,Cropland,Cropland,Wetland,Non_Water,Wetland,Water
318,Cropland,Cropland,Wetland,Water,Wetland,Grassland
319,Cropland,Cropland,Wetland,Water,Wetland,Bareland
320,Cropland,Cropland,Wetland,Water,Wetland,Water
321,Cropland,Cropland,Wetland,Water,Wetland,Forest
322,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
323,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
324,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
325,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
326,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
327,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
328,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
329,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
330,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
331,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
332,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
333,Cropland,Cropland,Built-up,Water,Non_Wetland,Water
334,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
335,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
336,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
337,Cropland,Cropland,Forest,NULL,Non_Wetland,Water
338,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
339,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
340,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
341,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
342,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
343,Cropland,Wetland,Grassland,Water,Non_Wetland,Forest
344,Cropland,Wetland,Wetland,Water,Wetland,Forest
345,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
346,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
347,Cropland,Bareland,NULL,NULL,Non_Wetland,Water
348,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
349,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
350,Cropland,Bareland,Shrubland,Water,Non_Wetland,Grassland
351,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
352,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
353,Cropland,Bareland,Grassland,NULL,Non_Wetland,Water
354,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
355,Cropland,Bareland,Grassland,Water,Non_Wetland,Bareland
356,Cropland,Bareland,Grassland,Water,Non_Wetland,Water
357,Cropland,Bareland,Wetland,Water,Wetland,Grassland
358,Cropland,Bareland,Wetland,Water,Wetland,Wetland
359,Cropland,Bareland,Wetland,Water,Wetland,Bareland
360,Cropland,Bareland,Wetland,Water,Wetland,Water
361,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
362,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
363,Cropland,Bareland,Bareland,Water,Non_Wetland,Grassland
364,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
365,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
366,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
367,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
368,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
369,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
370,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
371,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
372,Cropland,Water,NULL,NULL,Non_Wetland,NULL
373,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
374,Cropland,Water,NULL,NULL,Non_Wetland,Cropland
375,Cropland,Water,NULL,NULL,Non_Wetland,Bareland
376,Cropland,Water,NULL,NULL,Non_Wetland,Water
377,Cropland,Water,NULL,Water,Non_Wetland,Grassland
378,Cropland,Water,NULL,Water,Non_Wetland,Wetland
379,Cropland,Water,Shrubland,Water,Non_Wetland,Bareland
380,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
381,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
382,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
383,Cropland,Water,Grassland,NULL,Non_Wetland,Wetland
384,Cropland,Water,Grassland,NULL,Non_Wetland,Water
385,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
386,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
387,Cropland,Water,Grassland,Water,Non_Wetland,Cropland
388,Cropland,Water,Grassland,Water,Non_Wetland,Wetland
389,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
390,Cropland,Water,Wetland,NULL,Wetland,Bareland
391,Cropland,Water,Wetland,Water,Wetland,Grassland
392,Cropland,Water,Wetland,Water,Wetland,Cropland
393,Cropland,Water,Wetland,Water,Wetland,Bareland
394,Cropland,Water,Wetland,Water,Wetland,Water
395,Cropland,Water,Wetland,Water,Wetland,Forest
396,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
397,Cropland,Water,Bareland,Water,Non_Wetland,Bareland
398,Cropland,Water,Bareland,Water,Non_Wetland,Water
399,Cropland,Water,Water,Water,Water,Bareland
400,Cropland,Water,Water,Water,Water,Water
401,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
402,Cropland,Water,Forest,Water,Non_Wetland,Cropland
403,Cropland,Water,Forest,Water,Non_Wetland,Forest
404,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
405,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
406,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland
407,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
408,Cropland,Forest,NULL,Water,Non_Wetland,Grassland
409,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
410,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
411,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
412,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
413,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
414,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
415,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
416,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
417,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Forest
418,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
419,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
420,Cropland,Forest,Wetland,NULL,Wetland,Forest
421,Cropland,Forest,Wetland,Water,Wetland,Grassland
422,Cropland,Forest,Wetland,Water,Wetland,Forest
423,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
424,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
425,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
426,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
