Value,AFRICA_2024_DynamicWorld_2024_37QGU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QGU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QGU_M_R,AFRICA_2024_GSW_Yearly_2021_37QGU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QGU_M_R,AFRICA_2024_WorldCover_2021_37QGU_M_R
124,NULL,Bareland,Water,NULL,Water,Water
125,NULL,Bareland,Water,Non_Water,NULL,Bareland
126,NULL,Bareland,Water,Non_Water,Water,Bareland
127,NULL,Bareland,Water,Non_Water,Water,Water
128,NULL,Bareland,Water,Water,NULL,Bareland
129,NULL,Bareland,Water,Water,NULL,Water
130,NULL,Bareland,Water,Water,Water,Bareland
131,NULL,Bareland,Water,Water,Water,Water
132,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
133,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
138,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Water,NULL,NULL,Non_Wetland,Bareland
148,NULL,Water,NULL,NULL,Non_Wetland,Water
149,NULL,Water,NULL,Water,Non_Wetland,Bareland
150,NULL,Water,NULL,Water,Non_Wetland,Water
151,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
152,NULL,Water,Shrubland,NULL,Non_Wetland,Water
153,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
154,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
155,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
156,NULL,Water,Shrubland,Water,Non_Wetland,Water
157,NULL,Water,Cropland,NULL,Non_Wetland,NULL
158,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
160,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
161,NULL,Water,Cropland,NULL,Non_Wetland,Water
162,NULL,Water,Cropland,NULL,Non_Wetland,Forest
163,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
164,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
165,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
166,NULL,Water,Cropland,Water,Non_Wetland,Grassland
167,NULL,Water,Cropland,Water,Non_Wetland,Bareland
168,NULL,Water,Cropland,Water,Non_Wetland,Water
169,NULL,Water,Wetland,NULL,NULL,Bareland
170,NULL,Water,Wetland,NULL,NULL,Water
171,NULL,Water,Wetland,NULL,Wetland,NULL
172,NULL,Water,Wetland,NULL,Wetland,Grassland
173,NULL,Water,Wetland,NULL,Wetland,Wetland
174,NULL,Water,Wetland,NULL,Wetland,Bareland
175,NULL,Water,Wetland,NULL,Wetland,Water
176,NULL,Water,Wetland,NULL,Wetland,Forest
177,NULL,Water,Wetland,Non_Water,Wetland,NULL
178,NULL,Water,Wetland,Non_Water,Wetland,Grassland
179,NULL,Water,Wetland,Non_Water,Wetland,Wetland
180,NULL,Water,Wetland,Non_Water,Wetland,Bareland
181,NULL,Water,Wetland,Non_Water,Wetland,Water
182,NULL,Water,Wetland,Non_Water,Wetland,Forest
183,NULL,Water,Wetland,Water,NULL,Grassland
184,NULL,Water,Wetland,Water,NULL,Wetland
185,NULL,Water,Wetland,Water,NULL,Bareland
186,NULL,Water,Wetland,Water,NULL,Water
187,NULL,Water,Wetland,Water,NULL,Forest
188,NULL,Water,Wetland,Water,Wetland,NULL
189,NULL,Water,Wetland,Water,Wetland,Grassland
190,NULL,Water,Wetland,Water,Wetland,Wetland
191,NULL,Water,Wetland,Water,Wetland,Bareland
192,NULL,Water,Wetland,Water,Wetland,Water
193,NULL,Water,Wetland,Water,Wetland,Forest
194,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
195,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
196,NULL,Water,Bareland,NULL,Non_Wetland,Water
197,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
198,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
199,NULL,Water,Bareland,Water,Non_Wetland,NULL
200,NULL,Water,Bareland,Water,Non_Wetland,Bareland
201,NULL,Water,Bareland,Water,Non_Wetland,Built-up
202,NULL,Water,Bareland,Water,Non_Wetland,Water
203,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
204,NULL,Water,Built-up,NULL,Non_Wetland,Water
205,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
206,NULL,Water,Built-up,Water,Non_Wetland,Bareland
207,NULL,Water,Built-up,Water,Non_Wetland,Water
208,NULL,Water,Water,NULL,NULL,Bareland
209,NULL,Water,Water,NULL,NULL,Water
210,NULL,Water,Water,NULL,Water,Bareland
211,NULL,Water,Water,NULL,Water,Water
212,NULL,Water,Water,Non_Water,Water,Bareland
213,NULL,Water,Water,Water,NULL,Bareland
214,NULL,Water,Water,Water,NULL,Water
215,NULL,Water,Water,Water,Water,Bareland
216,NULL,Water,Water,Water,Water,Water
217,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
218,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
219,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
220,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
221,NULL,Forest,Wetland,NULL,Wetland,NULL
222,NULL,Forest,Wetland,NULL,Wetland,Grassland
223,NULL,Forest,Wetland,NULL,Wetland,Wetland
224,NULL,Forest,Wetland,NULL,Wetland,Bareland
225,NULL,Forest,Wetland,NULL,Wetland,Forest
226,Water,NULL,Water,NULL,NULL,NULL
227,Water,NULL,Water,NULL,NULL,Water
228,Water,NULL,Water,Water,NULL,Water
229,Water,Bareland,Wetland,Water,Wetland,Water
230,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
231,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
232,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
233,Water,Water,Shrubland,Water,Non_Wetland,Bareland
234,Water,Water,Shrubland,Water,Non_Wetland,Water
235,Water,Water,Wetland,NULL,Wetland,Bareland
236,Water,Water,Wetland,NULL,Wetland,Water
237,Water,Water,Wetland,Water,NULL,Bareland
238,Water,Water,Wetland,Water,NULL,Water
239,Water,Water,Wetland,Water,Wetland,Bareland
240,Water,Water,Wetland,Water,Wetland,Water
241,Water,Water,Bareland,NULL,Non_Wetland,Bareland
242,Water,Water,Bareland,Water,Non_Wetland,Water
243,Water,Water,Water,Water,NULL,Water
