Value,AFRICA_2024_DynamicWorld_2024_35NMH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMH_M_R,AFRICA_2024_GSW_Yearly_2021_35NMH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMH_M_R,AFRICA_2024_WorldCover_2021_35NMH_M_R
123,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
124,Forest,Forest,NULL,NULL,Non_Wetland,Forest
125,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL
126,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
127,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
128,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
129,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
130,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
131,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
132,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
133,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
134,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
135,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
136,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
137,Forest,Forest,Wetland,NULL,Wetland,NULL
138,Forest,Forest,Wetland,NULL,Wetland,Grassland
139,Forest,Forest,Wetland,NULL,Wetland,Forest
140,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
141,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
142,Forest,Forest,Water,NULL,Water,Forest
143,Forest,Forest,Forest,NULL,Non_Wetland,NULL
144,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
145,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
146,Forest,Forest,Forest,NULL,Non_Wetland,Forest
147,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
148,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
149,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
150,Forest,Forest,Forest,Water,Non_Wetland,Grassland
151,Forest,Forest,Forest,Water,Non_Wetland,Forest
