Value,AFRICA_2024_DynamicWorld_2024_38PLQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,AFRICA_2024_GSW_Yearly_2021_38PLQ_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLQ_M_R,AFRICA_2024_WorldCover_2021_38PLQ_M_R
120,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
121,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
124,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
125,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
126,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
127,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
128,NULL,Bareland,Wetland,Water,Wetland,Bareland
129,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
130,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
132,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
133,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
134,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
135,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
137,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Bareland,Water,Water,Water,Bareland
139,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
140,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
142,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
143,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
144,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
151,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
158,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
159,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
175,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
176,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
177,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
179,NULL,Water,Grassland,NULL,Non_Wetland,Water
180,NULL,Water,Grassland,Water,Non_Wetland,Grassland
181,NULL,Water,Grassland,Water,Non_Wetland,Cropland
182,NULL,Water,Grassland,Water,Non_Wetland,Bareland
183,NULL,Water,Grassland,Water,Non_Wetland,Water
184,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
185,NULL,Water,Cropland,Water,Non_Wetland,Cropland
186,NULL,Water,Cropland,Water,Non_Wetland,Water
187,NULL,Water,Cropland,Water,Non_Wetland,Forest
188,NULL,Water,Wetland,NULL,Wetland,Water
189,NULL,Water,Wetland,Water,Wetland,Water
190,NULL,Water,Bareland,NULL,Non_Wetland,Water
191,NULL,Water,Bareland,Water,Non_Wetland,Water
192,NULL,Water,Water,Water,Water,Cropland
193,NULL,Water,Water,Water,Water,Bareland
194,NULL,Water,Water,Water,Water,Water
195,NULL,Forest,NULL,NULL,Non_Wetland,NULL
196,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
197,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
198,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
199,NULL,Forest,NULL,NULL,Non_Wetland,Forest
200,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
201,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
202,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
203,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
204,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
205,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
206,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
207,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
208,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
209,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
210,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
211,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
212,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
213,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
214,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
215,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
216,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
217,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
218,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
219,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
220,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
221,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
222,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
223,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
224,NULL,Forest,Wetland,NULL,Wetland,Grassland
225,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
226,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
227,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
228,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
229,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
230,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL
232,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
233,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
234,NULL,Forest,Forest,NULL,Non_Wetland,Forest
235,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
236,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
238,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
239,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
243,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
244,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
246,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
247,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
250,Grassland,NULL,Wetland,NULL,Wetland,Grassland
251,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
252,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
253,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
254,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
255,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
256,Grassland,Forest,Wetland,NULL,Wetland,Grassland
257,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
258,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
259,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
260,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
261,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
262,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
263,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
264,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
265,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
266,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
267,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
268,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
269,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
270,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
271,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
272,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
273,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
274,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
275,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
278,Cropland,NULL,Wetland,NULL,Wetland,Grassland
279,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
280,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
281,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
282,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
283,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
284,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
285,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
286,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
287,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
288,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
289,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
290,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
291,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
292,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
293,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
294,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
295,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
296,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
297,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
298,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
299,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
300,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
301,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
302,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
303,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
304,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
305,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
306,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
307,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
308,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
309,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
310,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
311,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
312,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
313,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
314,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
315,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
316,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
317,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
318,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
319,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
320,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
321,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
322,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
323,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
324,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
325,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
326,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
327,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
328,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
329,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
330,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
331,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
332,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
333,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
334,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
335,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
336,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
337,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
338,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
339,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
340,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
341,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
342,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
343,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
344,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
345,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
346,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
347,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
348,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
349,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
350,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
351,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
352,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
353,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
354,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
355,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
356,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
357,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
358,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
359,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
360,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
361,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
362,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
363,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
364,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
365,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
366,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
367,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
368,Forest,NULL,NULL,NULL,Non_Wetland,NULL
369,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
370,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
371,Forest,NULL,NULL,NULL,Non_Wetland,Forest
372,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
373,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
374,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
375,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
376,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
377,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
378,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
379,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
380,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
381,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
382,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
383,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
384,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
385,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
386,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
387,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
388,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
389,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
390,Forest,NULL,Forest,NULL,Non_Wetland,NULL
391,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
392,Forest,NULL,Forest,NULL,Non_Wetland,Forest
393,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
394,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
395,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
396,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
397,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
398,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
399,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
400,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
401,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
402,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
403,Forest,Forest,NULL,NULL,Non_Wetland,NULL
404,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
405,Forest,Forest,NULL,NULL,Non_Wetland,Forest
406,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
407,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
408,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
409,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
410,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
411,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
412,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
413,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
414,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
415,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
416,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
417,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
418,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
419,Forest,Forest,Forest,NULL,Non_Wetland,NULL
420,Forest,Forest,Forest,NULL,Non_Wetland,Forest
