Value,AFRICA_2024_DynamicWorld_2024_36PUU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUU_M_R,AFRICA_2024_GSW_Yearly_2021_36PUU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUU_M_R,AFRICA_2024_WorldCover_2021_36PUU_M_R
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
128,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
131,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
132,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
133,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
135,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
136,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
137,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
138,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
158,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
166,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
167,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
170,NULL,Forest,NULL,NULL,Non_Wetland,NULL
171,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
172,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
173,NULL,Forest,NULL,NULL,Non_Wetland,Forest
174,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
