Value,AFRICA_2024_DynamicWorld_2024_35NMG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMG_M_R,AFRICA_2024_GSW_Yearly_2021_35NMG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMG_M_R,AFRICA_2024_WorldCover_2021_35NMG_M_R
122,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
126,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
127,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
128,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
129,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
130,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
131,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
132,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
133,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
134,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
135,NULL,Forest,Wetland,NULL,Wetland,NULL
136,NULL,Forest,Wetland,NULL,Wetland,Grassland
137,NULL,Forest,Wetland,NULL,Wetland,Wetland
138,NULL,Forest,Wetland,NULL,Wetland,Forest
139,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
140,NULL,Forest,Wetland,Non_Water,Wetland,Forest
141,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
143,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
144,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
145,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
148,NULL,Forest,Water,NULL,Water,Grassland
149,NULL,Forest,Water,NULL,Water,Forest
150,NULL,Forest,Water,Non_Water,Water,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,NULL
152,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
153,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
154,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
155,NULL,Forest,Forest,NULL,Non_Wetland,Forest
156,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
157,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
158,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
159,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Forest,Forest,Water,Non_Wetland,Grassland
161,NULL,Forest,Forest,Water,Non_Wetland,Wetland
162,NULL,Forest,Forest,Water,Non_Wetland,Forest
163,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
164,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
165,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
166,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
167,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
168,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
169,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
170,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
171,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
172,Water,Forest,NULL,NULL,Non_Wetland,Forest
173,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
174,Water,Forest,Forest,NULL,Non_Wetland,Forest
175,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
176,Forest,NULL,NULL,NULL,Non_Wetland,Forest
177,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
178,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
179,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
180,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
181,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
182,Forest,NULL,Forest,NULL,Non_Wetland,NULL
183,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
184,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
185,Forest,NULL,Forest,NULL,Non_Wetland,Forest
186,Forest,Forest,NULL,NULL,Non_Wetland,NULL
187,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
188,Forest,Forest,NULL,NULL,Non_Wetland,Forest
189,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
190,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
191,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
192,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
193,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
194,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
195,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
196,Forest,Forest,Wetland,NULL,Wetland,NULL
197,Forest,Forest,Wetland,NULL,Wetland,Grassland
198,Forest,Forest,Wetland,NULL,Wetland,Forest
199,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
200,Forest,Forest,Forest,NULL,Non_Wetland,NULL
201,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
202,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
203,Forest,Forest,Forest,NULL,Non_Wetland,Forest
204,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
205,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
206,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
