Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Shrubland,0,0,0,38,0,0,0,0,0,9,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Grassland,0,0,0,10,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Wetland,0,0,0,188,0,0,0,0,0,46,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Lichens_and_Mosses,0,0,0,17,0,0,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Bareland,0,0,0,94,0,0,0,0,0,30,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Built-up,0,0,0,18,0,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Water,0,0,0,0,0,0,0,0,0,87,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Permanent_ice_and_snow,0,0,0,9,0,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,Forest,0,0,0,6,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Water,24,41,77,0,63,1,38,0,0,0,24
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Wetland,40,0,83,24,75,12,74,0,0,0,56
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Bareland,22,29,72,14,0,0,74,0,0,0,25
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Built-up,4,6,7,2,5,0,0,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Permanent_ice_and_snow,4,1,11,0,11,0,8,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Forest,4,0,15,0,15,0,2,0,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,Shrubland,21,0,49,0,49,3,32,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Water,0,98,0,0,23,2,24,75,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Grassland,0,10,0,4,0,1,0,6,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Lichens_and_Mosses,0,10,0,8,5,8,5,13,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Bareland,0,62,0,39,0,8,35,59,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Wetland,0,0,0,72,30,18,57,105,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Shrubland,0,45,0,17,0,17,15,38,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Built-up,0,3,0,0,0,0,0,4,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,Forest,0,13,0,5,0,0,1,4,0,0,0
SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,Grassland,0,5,0,1,9,1,0,0,0,0,10
SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,Wetland,0,0,0,19,82,27,0,0,0,0,80
SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,Lichens_and_Mosses,0,12,0,2,15,0,0,0,0,0,15
SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,Water,0,93,0,0,98,30,0,8,0,0,85
SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,Bareland,0,17,0,0,0,0,0,0,0,0,10
SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,Built-up,0,18,0,0,32,0,0,0,0,0,14
