,GSW_Yearly_2021,GLC_FCS30D_2022,GWL_FCS30D_2022,WorldCover_2021,ESRI_Annual_LULC_2024,meta,tile_id,ESA_CALU_2024
10,237,468,526,493,388,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R': 388, 'SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R': 468, 'SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R': 237, 'SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R': 526, 'SIBERIA_2024_WorldCover_2021_41VPF_M_R': 493}",41VPF,
11,639,963,1025,1017,859,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R': 859, 'SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R': 963, 'SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R': 639, 'SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R': 1025, 'SIBERIA_2024_WorldCover_2021_41WNP_M_R': 1017}",41WNP,
12,556,923,1012,951,799,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VPG_M_R': 799, 'SIBERIA_2024_GLC_FCS30D_2022_41VPG_M_R': 923, 'SIBERIA_2024_GSW_Yearly_2021_41VPG_M_R': 556, 'SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R': 1012, 'SIBERIA_2024_WorldCover_2021_41VPG_M_R': 951}",41VPG,
13,597,1048,1132,1061,928,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VWM_M_R': 928, 'SIBERIA_2024_GLC_FCS30D_2022_42VWM_M_R': 1048, 'SIBERIA_2024_GSW_Yearly_2021_42VWM_M_R': 597, 'SIBERIA_2024_GWL_FCS30D_2022_42VWM_M_R': 1132, 'SIBERIA_2024_WorldCover_2021_42VWM_M_R': 1061}",42VWM,
14,417,817,889,827,715,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VPJ_M_R': 715, 'SIBERIA_2024_GLC_FCS30D_2022_41VPJ_M_R': 817, 'SIBERIA_2024_GSW_Yearly_2021_41VPJ_M_R': 417, 'SIBERIA_2024_GWL_FCS30D_2022_41VPJ_M_R': 889, 'SIBERIA_2024_WorldCover_2021_41VPJ_M_R': 827}",41VPJ,
15,376,625,693,647,572,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R': 572, 'SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R': 625, 'SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R': 376, 'SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R': 693, 'SIBERIA_2024_WorldCover_2021_41WPN_M_R': 647}",41WPN,
16,619,982,1066,1049,914,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPP_M_R': 914, 'SIBERIA_2024_GLC_FCS30D_2022_41WPP_M_R': 982, 'SIBERIA_2024_GSW_Yearly_2021_41WPP_M_R': 619, 'SIBERIA_2024_GWL_FCS30D_2022_41WPP_M_R': 1066, 'SIBERIA_2024_WorldCover_2021_41WPP_M_R': 1049}",41WPP,
17,391,766,835,762,656,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VPH_M_R': 656, 'SIBERIA_2024_GLC_FCS30D_2022_41VPH_M_R': 766, 'SIBERIA_2024_GSW_Yearly_2021_41VPH_M_R': 391, 'SIBERIA_2024_GWL_FCS30D_2022_41VPH_M_R': 835, 'SIBERIA_2024_WorldCover_2021_41VPH_M_R': 762}",41VPH,
18,489,889,955,911,791,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VPK_M_R': 791, 'SIBERIA_2024_GLC_FCS30D_2022_41VPK_M_R': 889, 'SIBERIA_2024_GSW_Yearly_2021_41VPK_M_R': 489, 'SIBERIA_2024_GWL_FCS30D_2022_41VPK_M_R': 955, 'SIBERIA_2024_WorldCover_2021_41VPK_M_R': 911}",41VPK,
19,1163,1984,1981,2080,1671,"{'SIBERIA_2024_ESA_CALU_2024_41WPS_M_R': 1151, 'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPS_M_R': 1671, 'SIBERIA_2024_GLC_FCS30D_2022_41WPS_M_R': 1984, 'SIBERIA_2024_GSW_Yearly_2021_41WPS_M_R': 1163, 'SIBERIA_2024_GWL_FCS30D_2022_41WPS_M_R': 1981, 'SIBERIA_2024_WorldCover_2021_41WPS_M_R': 2080}",41WPS,1151.0
20,620,1064,1154,1093,959,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VVP_M_R': 959, 'SIBERIA_2024_GLC_FCS30D_2022_42VVP_M_R': 1064, 'SIBERIA_2024_GSW_Yearly_2021_42VVP_M_R': 620, 'SIBERIA_2024_GWL_FCS30D_2022_42VVP_M_R': 1154, 'SIBERIA_2024_WorldCover_2021_42VVP_M_R': 1093}",42VVP,
21,679,1090,1164,1100,975,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VVN_M_R': 975, 'SIBERIA_2024_GLC_FCS30D_2022_42VVN_M_R': 1090, 'SIBERIA_2024_GSW_Yearly_2021_42VVN_M_R': 679, 'SIBERIA_2024_GWL_FCS30D_2022_42VVN_M_R': 1164, 'SIBERIA_2024_WorldCover_2021_42VVN_M_R': 1100}",42VVN,
22,229,404,459,426,343,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R': 343, 'SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R': 404, 'SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R': 229, 'SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R': 459, 'SIBERIA_2024_WorldCover_2021_41VNF_M_R': 426}",41VNF,
23,501,860,939,873,757,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VVR_M_R': 757, 'SIBERIA_2024_GLC_FCS30D_2022_42VVR_M_R': 860, 'SIBERIA_2024_GSW_Yearly_2021_42VVR_M_R': 501, 'SIBERIA_2024_GWL_FCS30D_2022_42VVR_M_R': 939, 'SIBERIA_2024_WorldCover_2021_42VVR_M_R': 873}",42VVR,
24,246,600,657,619,504,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VNJ_M_R': 504, 'SIBERIA_2024_GLC_FCS30D_2022_41VNJ_M_R': 600, 'SIBERIA_2024_GSW_Yearly_2021_41VNJ_M_R': 246, 'SIBERIA_2024_GWL_FCS30D_2022_41VNJ_M_R': 657, 'SIBERIA_2024_WorldCover_2021_41VNJ_M_R': 619}",41VNJ,
25,394,758,828,765,667,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VNK_M_R': 667, 'SIBERIA_2024_GLC_FCS30D_2022_41VNK_M_R': 758, 'SIBERIA_2024_GSW_Yearly_2021_41VNK_M_R': 394, 'SIBERIA_2024_GWL_FCS30D_2022_41VNK_M_R': 828, 'SIBERIA_2024_WorldCover_2021_41VNK_M_R': 765}",41VNK,
26,245,495,550,524,434,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R': 434, 'SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R': 495, 'SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R': 245, 'SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R': 550, 'SIBERIA_2024_WorldCover_2021_42VXL_M_R': 524}",42VXL,
27,458,863,942,866,730,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VNH_M_R': 730, 'SIBERIA_2024_GLC_FCS30D_2022_41VNH_M_R': 863, 'SIBERIA_2024_GSW_Yearly_2021_41VNH_M_R': 458, 'SIBERIA_2024_GWL_FCS30D_2022_41VNH_M_R': 942, 'SIBERIA_2024_WorldCover_2021_41VNH_M_R': 866}",41VNH,
28,441,890,969,894,785,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VXM_M_R': 785, 'SIBERIA_2024_GLC_FCS30D_2022_42VXM_M_R': 890, 'SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R': 441, 'SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R': 969, 'SIBERIA_2024_WorldCover_2021_42VXM_M_R': 894}",42VXM,
29,696,1166,1272,1199,1078,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VXN_M_R': 1078, 'SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R': 1166, 'SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R': 696, 'SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R': 1272, 'SIBERIA_2024_WorldCover_2021_42VXN_M_R': 1199}",42VXN,
30,653,1101,1183,1107,997,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R': 997, 'SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R': 1101, 'SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R': 653, 'SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R': 1183, 'SIBERIA_2024_WorldCover_2021_42VXP_M_R': 1107}",42VXP,
31,464,742,816,778,669,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R': 669, 'SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R': 742, 'SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R': 464, 'SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R': 816, 'SIBERIA_2024_WorldCover_2021_41WNN_M_R': 778}",41WNN,
32,475,822,845,881,753,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WVU_M_R': 753, 'SIBERIA_2024_GLC_FCS30D_2022_42WVU_M_R': 822, 'SIBERIA_2024_GSW_Yearly_2021_42WVU_M_R': 475, 'SIBERIA_2024_GWL_FCS30D_2022_42WVU_M_R': 845, 'SIBERIA_2024_WorldCover_2021_42WVU_M_R': 881}",42WVU,
33,485,862,941,880,781,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VXQ_M_R': 781, 'SIBERIA_2024_GLC_FCS30D_2022_42VXQ_M_R': 862, 'SIBERIA_2024_GSW_Yearly_2021_42VXQ_M_R': 485, 'SIBERIA_2024_GWL_FCS30D_2022_42VXQ_M_R': 941, 'SIBERIA_2024_WorldCover_2021_42VXQ_M_R': 880}",42VXQ,
34,262,503,573,542,475,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R': 475, 'SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R': 503, 'SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R': 262, 'SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R': 573, 'SIBERIA_2024_WorldCover_2021_42VWL_M_R': 542}",42VWL,
35,726,1205,1298,1220,1087,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VWP_M_R': 1087, 'SIBERIA_2024_GLC_FCS30D_2022_42VWP_M_R': 1205, 'SIBERIA_2024_GSW_Yearly_2021_42VWP_M_R': 726, 'SIBERIA_2024_GWL_FCS30D_2022_42VWP_M_R': 1298, 'SIBERIA_2024_WorldCover_2021_42VWP_M_R': 1220}",42VWP,
36,509,852,922,853,748,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VWQ_M_R': 748, 'SIBERIA_2024_GLC_FCS30D_2022_42VWQ_M_R': 852, 'SIBERIA_2024_GSW_Yearly_2021_42VWQ_M_R': 509, 'SIBERIA_2024_GWL_FCS30D_2022_42VWQ_M_R': 922, 'SIBERIA_2024_WorldCover_2021_42VWQ_M_R': 853}",42VWQ,
37,388,620,692,644,554,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R': 554, 'SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R': 620, 'SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R': 388, 'SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R': 692, 'SIBERIA_2024_WorldCover_2021_42WVT_M_R': 644}",42WVT,
38,962,1627,1697,1694,1379,"{'SIBERIA_2024_ESA_CALU_2024_41WPR_M_R': 611, 'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R': 1379, 'SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R': 1627, 'SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R': 962, 'SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R': 1697, 'SIBERIA_2024_WorldCover_2021_41WPR_M_R': 1694}",41WPR,611.0
39,458,827,808,880,745,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WWU_M_R': 745, 'SIBERIA_2024_GLC_FCS30D_2022_42WWU_M_R': 827, 'SIBERIA_2024_GSW_Yearly_2021_42WWU_M_R': 458, 'SIBERIA_2024_GWL_FCS30D_2022_42WWU_M_R': 808, 'SIBERIA_2024_WorldCover_2021_42WWU_M_R': 880}",42WWU,
40,792,1282,1379,1303,1155,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VWN_M_R': 1155, 'SIBERIA_2024_GLC_FCS30D_2022_42VWN_M_R': 1282, 'SIBERIA_2024_GSW_Yearly_2021_42VWN_M_R': 792, 'SIBERIA_2024_GWL_FCS30D_2022_42VWN_M_R': 1379, 'SIBERIA_2024_WorldCover_2021_42VWN_M_R': 1303}",42VWN,
41,638,992,997,1059,883,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R': 883, 'SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R': 992, 'SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R': 638, 'SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R': 997, 'SIBERIA_2024_WorldCover_2021_42WVV_M_R': 1059}",42WVV,
42,327,602,665,618,524,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WVS_M_R': 524, 'SIBERIA_2024_GLC_FCS30D_2022_42WVS_M_R': 602, 'SIBERIA_2024_GSW_Yearly_2021_42WVS_M_R': 327, 'SIBERIA_2024_GWL_FCS30D_2022_42WVS_M_R': 665, 'SIBERIA_2024_WorldCover_2021_42WVS_M_R': 618}",42WVS,
43,520,822,895,877,730,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R': 730, 'SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R': 822, 'SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R': 520, 'SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R': 895, 'SIBERIA_2024_WorldCover_2021_42WXS_M_R': 877}",42WXS,
44,789,1279,1218,1283,1138,"{'SIBERIA_2024_ESA_CALU_2024_42WXB_M_R': 436, 'SIBERIA_2024_ESRI_Annual_LULC_2024_42WXB_M_R': 1138, 'SIBERIA_2024_GLC_FCS30D_2022_42WXB_M_R': 1279, 'SIBERIA_2024_GSW_Yearly_2021_42WXB_M_R': 789, 'SIBERIA_2024_GWL_FCS30D_2022_42WXB_M_R': 1218, 'SIBERIA_2024_WorldCover_2021_42WXB_M_R': 1283}",42WXB,436.0
45,780,1173,1240,1245,1056,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPQ_M_R': 1056, 'SIBERIA_2024_GLC_FCS30D_2022_41WPQ_M_R': 1173, 'SIBERIA_2024_GSW_Yearly_2021_41WPQ_M_R': 780, 'SIBERIA_2024_GWL_FCS30D_2022_41WPQ_M_R': 1240, 'SIBERIA_2024_WorldCover_2021_41WPQ_M_R': 1245}",41WPQ,
46,632,1014,1074,1057,896,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WXT_M_R': 896, 'SIBERIA_2024_GLC_FCS30D_2022_42WXT_M_R': 1014, 'SIBERIA_2024_GSW_Yearly_2021_42WXT_M_R': 632, 'SIBERIA_2024_GWL_FCS30D_2022_42WXT_M_R': 1074, 'SIBERIA_2024_WorldCover_2021_42WXT_M_R': 1057}",42WXT,
47,381,641,701,678,504,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R': 504, 'SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R': 641, 'SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R': 381, 'SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R': 701, 'SIBERIA_2024_WorldCover_2021_42VUR_M_R': 678}",42VUR,
48,372,612,567,0,499,"{'SIBERIA_2024_ESA_CALU_2024_41WPV_M_R': 445, 'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R': 499, 'SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R': 612, 'SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R': 372, 'SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R': 567, 'SIBERIA_2024_WorldCover_2021_41WPV_M_R': 0}",41WPV,445.0
49,502,855,846,879,751,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WXU_M_R': 751, 'SIBERIA_2024_GLC_FCS30D_2022_42WXU_M_R': 855, 'SIBERIA_2024_GSW_Yearly_2021_42WXU_M_R': 502, 'SIBERIA_2024_GWL_FCS30D_2022_42WXU_M_R': 846, 'SIBERIA_2024_WorldCover_2021_42WXU_M_R': 879}",42WXU,
50,1252,2137,2057,2139,1713,"{'SIBERIA_2024_ESA_CALU_2024_42WXE_M_R': 1448, 'SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R': 1713, 'SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R': 2137, 'SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R': 1252, 'SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R': 2057, 'SIBERIA_2024_WorldCover_2021_42WXE_M_R': 2139}",42WXE,1448.0
51,395,829,913,838,740,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R': 740, 'SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R': 829, 'SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R': 395, 'SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R': 913, 'SIBERIA_2024_WorldCover_2021_43VCG_M_R': 838}",43VCG,
52,241,504,555,528,438,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_43VCF_M_R': 438, 'SIBERIA_2024_GLC_FCS30D_2022_43VCF_M_R': 504, 'SIBERIA_2024_GSW_Yearly_2021_43VCF_M_R': 241, 'SIBERIA_2024_GWL_FCS30D_2022_43VCF_M_R': 555, 'SIBERIA_2024_WorldCover_2021_43VCF_M_R': 528}",43VCF,
53,442,766,835,798,676,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WWT_M_R': 676, 'SIBERIA_2024_GLC_FCS30D_2022_42WWT_M_R': 766, 'SIBERIA_2024_GSW_Yearly_2021_42WWT_M_R': 442, 'SIBERIA_2024_GWL_FCS30D_2022_42WWT_M_R': 835, 'SIBERIA_2024_WorldCover_2021_42WWT_M_R': 798}",42WWT,
54,522,892,968,920,810,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VPL_M_R': 810, 'SIBERIA_2024_GLC_FCS30D_2022_41VPL_M_R': 892, 'SIBERIA_2024_GSW_Yearly_2021_41VPL_M_R': 522, 'SIBERIA_2024_GWL_FCS30D_2022_41VPL_M_R': 968, 'SIBERIA_2024_WorldCover_2021_41VPL_M_R': 920}",41VPL,
55,501,841,804,853,715,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42WXA_M_R': 715, 'SIBERIA_2024_GLC_FCS30D_2022_42WXA_M_R': 841, 'SIBERIA_2024_GSW_Yearly_2021_42WXA_M_R': 501, 'SIBERIA_2024_GWL_FCS30D_2022_42WXA_M_R': 804, 'SIBERIA_2024_WorldCover_2021_42WXA_M_R': 853}",42WXA,
56,1248,2090,2084,2101,1695,"{'SIBERIA_2024_ESA_CALU_2024_42WWE_M_R': 1678, 'SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R': 1695, 'SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R': 2090, 'SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R': 1248, 'SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R': 2084, 'SIBERIA_2024_WorldCover_2021_42WWE_M_R': 2101}",42WWE,1678.0
57,738,1208,1326,1260,1130,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_43VCH_M_R': 1130, 'SIBERIA_2024_GLC_FCS30D_2022_43VCH_M_R': 1208, 'SIBERIA_2024_GSW_Yearly_2021_43VCH_M_R': 738, 'SIBERIA_2024_GWL_FCS30D_2022_43VCH_M_R': 1326, 'SIBERIA_2024_WorldCover_2021_43VCH_M_R': 1260}",43VCH,
58,720,1176,1277,1195,1083,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_43VCJ_M_R': 1083, 'SIBERIA_2024_GLC_FCS30D_2022_43VCJ_M_R': 1176, 'SIBERIA_2024_GSW_Yearly_2021_43VCJ_M_R': 720, 'SIBERIA_2024_GWL_FCS30D_2022_43VCJ_M_R': 1277, 'SIBERIA_2024_WorldCover_2021_43VCJ_M_R': 1195}",43VCJ,
59,593,873,940,902,785,"{'SIBERIA_2024_ESA_CALU_2024_41WNS_M_R': 0, 'SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R': 785, 'SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R': 873, 'SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R': 593, 'SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R': 940, 'SIBERIA_2024_WorldCover_2021_41WNS_M_R': 902}",41WNS,0.0
60,0,2,1,0,0,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41XNB_M_R': 0, 'SIBERIA_2024_GLC_FCS30D_2022_41XNB_M_R': 2, 'SIBERIA_2024_GSW_Yearly_2021_41XNB_M_R': 0, 'SIBERIA_2024_GWL_FCS30D_2022_41XNB_M_R': 1, 'SIBERIA_2024_WorldCover_2021_41XNB_M_R': 0}",41XNB,
61,524,798,762,854,0,"{'SIBERIA_2024_ESA_CALU_2024_42WVB_M_R': 664, 'SIBERIA_2024_ESRI_Annual_LULC_2024_42WVB_M_R': 0, 'SIBERIA_2024_GLC_FCS30D_2022_42WVB_M_R': 798, 'SIBERIA_2024_GSW_Yearly_2021_42WVB_M_R': 524, 'SIBERIA_2024_GWL_FCS30D_2022_42WVB_M_R': 762, 'SIBERIA_2024_WorldCover_2021_42WVB_M_R': 854}",42WVB,664.0
62,452,821,893,846,733,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VXR_M_R': 733, 'SIBERIA_2024_GLC_FCS30D_2022_42VXR_M_R': 821, 'SIBERIA_2024_GSW_Yearly_2021_42VXR_M_R': 452, 'SIBERIA_2024_GWL_FCS30D_2022_42VXR_M_R': 893, 'SIBERIA_2024_WorldCover_2021_42VXR_M_R': 846}",42VXR,
63,514,887,968,904,801,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R': 801, 'SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R': 887, 'SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R': 514, 'SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R': 968, 'SIBERIA_2024_WorldCover_2021_43VCK_M_R': 904}",43VCK,
64,343,673,731,693,577,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_43VDF_M_R': 577, 'SIBERIA_2024_GLC_FCS30D_2022_43VDF_M_R': 673, 'SIBERIA_2024_GSW_Yearly_2021_43VDF_M_R': 343, 'SIBERIA_2024_GWL_FCS30D_2022_43VDF_M_R': 731, 'SIBERIA_2024_WorldCover_2021_43VDF_M_R': 693}",43VDF,
