Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Built-up
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Built-up,0,0,0,2,0,0,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Permanent_ice_and_snow,10,12,11,16,4,8,0,0,0,18,7
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Forest,8,0,4,13,0,0,0,0,0,19,0
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Shrubland,16,9,11,27,0,9,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Water,0,52,0,39,0,20,56,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Grassland,0,6,0,1,8,6,7,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Lichens_and_Mosses,0,6,0,3,3,1,7,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Bareland,0,21,0,0,35,5,41,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Wetland,0,0,0,31,77,46,94,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Shrubland,0,19,0,1,10,12,21,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,Forest,0,2,0,0,1,0,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,Grassland,0,8,0,6,0,2,0,0,0,9,0
SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,Wetland,0,0,0,71,4,17,1,0,0,58,0
SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,Water,0,85,0,69,0,2,4,0,0,36,0
SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,Lichens_and_Mosses,0,3,0,8,0,0,0,0,0,5,0
SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,Forest,0,4,0,2,0,0,0,0,0,2,0
SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,Bareland,0,12,0,0,0,0,0,0,0,0,0
