Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Lichens_and_Mosses,0,0,0,0,0,10,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Bareland,0,0,0,0,0,63,0,0,0,12,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Built-up,0,0,0,0,0,11,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Water,0,0,0,0,0,0,0,0,0,69,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Permanent_ice_and_snow,0,0,0,0,0,49,0,0,0,13,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Forest,0,0,0,0,0,44,0,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Water,18,20,33,35,20,0,7,40,0,0,33
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Wetland,23,0,46,42,13,16,0,43,0,0,44
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Bareland,8,7,30,0,18,6,7,25,0,0,28
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Built-up,3,0,4,8,0,0,0,2,0,0,6
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Permanent_ice_and_snow,17,3,17,20,18,11,0,18,0,0,21
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Forest,13,3,17,19,6,2,0,0,0,0,29
SIBERIA_2024_GLC_FCS30D_2022_41WPR_M_R,Shrubland,11,0,9,22,0,0,0,18,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Water,0,53,0,34,1,0,52,18,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Grassland,0,8,0,2,1,2,5,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Lichens_and_Mosses,0,5,0,3,1,2,4,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Bareland,0,32,0,0,3,10,37,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Built-up,0,2,0,1,0,0,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Forest,0,18,0,3,1,3,8,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Wetland,0,0,0,19,2,24,47,16,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPR_M_R,Shrubland,0,29,0,0,0,5,22,4,0,0,0
SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,Grassland,0,1,0,4,0,0,0,2,0,0,4
SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,Wetland,0,0,0,27,0,5,0,21,0,0,35
SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,Lichens_and_Mosses,0,1,0,2,0,0,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,Water,0,39,0,19,0,0,0,8,0,0,24
SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,Bareland,0,4,0,0,0,0,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_41WPR_M_R,Forest,0,0,0,0,0,0,0,0,0,0,7
