Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Forest,Permanent_ice_and_snow
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Wetland,0,0,0,17,0,221,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Water,0,23,0,0,0,61,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,Permanent_ice_and_snow,0,2,0,0,0,15,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Shrubland,0,0,0,19,0,0,7,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Grassland,0,0,0,8,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Wetland,0,0,0,113,0,0,33,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Lichens_and_Mosses,0,0,0,8,0,0,2,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Bareland,0,0,0,57,0,0,18,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Built-up,0,0,0,3,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Water,0,0,0,0,0,0,73,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Permanent_ice_and_snow,0,0,0,17,0,0,7,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,Forest,0,0,0,3,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Water,14,37,46,0,39,0,0,45,17,2,2
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Wetland,28,0,53,22,54,0,0,55,24,4,3
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Bareland,12,27,41,14,0,0,0,25,36,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Permanent_ice_and_snow,7,13,11,5,12,0,0,12,14,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Forest,3,0,4,0,12,0,0,10,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,Shrubland,15,1,20,0,29,0,0,0,8,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Water,0,54,0,0,39,0,0,0,0,12,75
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Grassland,0,5,0,0,0,0,0,0,0,0,9
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Lichens_and_Mosses,0,5,0,2,1,0,0,0,0,0,10
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Bareland,0,23,0,16,0,0,0,0,0,6,47
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Wetland,0,0,0,34,27,0,0,0,0,21,85
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Shrubland,0,13,0,7,1,0,0,0,0,6,34
SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,Forest,0,0,0,1,0,0,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,Grassland,0,4,0,0,6,0,0,7,0,1,0
SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,Wetland,0,0,0,5,52,0,0,38,0,3,0
SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,Lichens_and_Mosses,0,4,0,0,5,0,0,5,0,0,0
SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,Water,0,54,0,0,54,0,0,32,0,1,3
SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,Bareland,0,5,0,0,0,0,0,2,0,0,0
