Value,SIBERIA_2024_ESA_CALU_2024_42XVF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42XVF_M_R,SIBERIA_2024_GLC_FCS30D_2022_42XVF_M_R,SIBERIA_2024_GSW_Yearly_2021_42XVF_M_R,SIBERIA_2024_GWL_FCS30D_2022_42XVF_M_R,SIBERIA_2024_WorldCover_2021_42XVF_M_R
106,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL
107,Permanent_ice_and_snow,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
108,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,NULL
109,Permanent_ice_and_snow,NULL,Water,Water,Water,NULL
110,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
111,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
112,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
113,Forest,NULL,Wetland,Water,Wetland,NULL
114,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
115,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
116,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
117,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL
118,Forest,NULL,Bareland,Water,Non_Wetland,NULL
119,Forest,NULL,Water,NULL,Water,NULL
