Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Built-up,Shrubland
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Permanent_ice_and_snow,8,9,15,2,11,0,1,0,0,13,8
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Forest,3,0,5,0,16,0,0,0,0,2,16
SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,Shrubland,21,1,37,0,35,0,4,0,0,11,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Water,0,75,0,0,47,94,4,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Grassland,0,9,0,0,0,11,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Lichens_and_Mosses,0,9,0,5,5,14,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Bareland,0,48,0,31,0,74,9,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Wetland,0,0,0,60,37,113,31,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Shrubland,0,29,0,8,3,44,11,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,Forest,0,6,0,1,0,7,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_42XXF_M_R,Grassland,0,6,0,0,7,0,3,0,0,0,8
SIBERIA_2024_ESA_CALU_2024_42XXF_M_R,Wetland,0,0,0,16,70,2,24,0,0,0,65
SIBERIA_2024_ESA_CALU_2024_42XXF_M_R,Lichens_and_Mosses,0,8,0,3,11,0,0,0,0,0,10
SIBERIA_2024_ESA_CALU_2024_42XXF_M_R,Water,0,77,0,0,87,5,8,0,0,0,59
SIBERIA_2024_ESA_CALU_2024_42XXF_M_R,Bareland,0,9,0,0,0,0,0,0,0,0,7
