Value,SIBERIA_2024_ESA_CALU_2024_45WVU_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVU_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVU_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVU_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVU_M_R,SIBERIA_2024_WorldCover_2021_45WVU_M_R
107,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Water
110,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
117,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
118,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
119,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
120,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
121,NULL,NULL,Built-up,Water,Non_Wetland,Water
122,NULL,NULL,Built-up,Water,Non_Wetland,Forest
123,NULL,NULL,Water,NULL,Water,Grassland
124,NULL,NULL,Water,NULL,Water,Wetland
125,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
126,NULL,NULL,Water,NULL,Water,Bareland
127,NULL,NULL,Water,NULL,Water,Water
128,NULL,NULL,Water,NULL,Water,Forest
129,NULL,NULL,Water,Non_Water,Water,Grassland
130,NULL,NULL,Water,Non_Water,Water,Wetland
131,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
132,NULL,NULL,Water,Non_Water,Water,Bareland
133,NULL,NULL,Water,Non_Water,Water,Water
134,NULL,NULL,Water,Non_Water,Water,Forest
135,NULL,NULL,Water,Water,Water,Grassland
136,NULL,NULL,Water,Water,Water,Wetland
137,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
138,NULL,NULL,Water,Water,Water,Bareland
139,NULL,NULL,Water,Water,Water,Water
140,NULL,NULL,Water,Water,Water,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
143,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
144,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
145,NULL,NULL,Forest,NULL,Non_Wetland,Water
146,NULL,NULL,Forest,NULL,Non_Wetland,Forest
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
148,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
150,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
151,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
152,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
153,NULL,NULL,Forest,Water,Non_Wetland,Grassland
154,NULL,NULL,Forest,Water,Non_Wetland,Wetland
155,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
156,NULL,NULL,Forest,Water,Non_Wetland,Water
157,NULL,NULL,Forest,Water,Non_Wetland,Forest
