Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Permanent_ice_and_snow,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Built-up,0,0,0,16,0,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Water,0,0,0,0,0,0,0,0,0,103,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Forest,0,0,0,12,0,0,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,Permanent_ice_and_snow,0,0,0,11,0,0,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Water,32,76,80,0,2,63,0,42,0,0,29,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Cropland,0,0,1,0,0,3,0,2,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Wetland,49,0,79,32,17,83,5,73,0,0,44,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Bareland,33,51,73,18,3,0,1,77,0,0,16,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Built-up,2,7,4,0,0,4,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Permanent_ice_and_snow,5,7,9,0,1,9,0,10,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Forest,16,0,30,0,0,30,0,6,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,Shrubland,32,0,48,0,10,47,1,41,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Grassland,0,11,0,7,4,0,10,4,0,0,0,4
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Lichens_and_Mosses,0,12,0,8,0,3,13,4,0,0,0,4
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Water,0,106,0,0,11,21,58,20,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Bareland,0,60,0,46,14,0,57,34,0,0,0,7
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Wetland,0,0,0,92,33,27,99,59,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Shrubland,0,50,0,23,20,2,34,9,0,0,0,9
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Built-up,0,1,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,Forest,0,20,0,9,0,0,13,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Grassland,0,11,0,0,6,13,0,0,0,0,13,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Water,0,93,0,0,46,101,17,0,0,0,97,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Wetland,0,0,0,19,47,85,0,0,0,0,88,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Lichens_and_Mosses,0,11,0,3,2,13,0,0,0,0,13,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Bareland,0,18,0,2,1,0,0,0,0,0,14,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Forest,0,0,0,0,0,0,0,0,0,0,1,0
SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,Built-up,0,13,0,0,0,19,0,0,0,0,5,0
